Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,0,,163.152.3.133,2.0,0.0514502525329589
,,1,,163.152.3.133,2.0,0.0511975288391113
,,7916,,163.152.3.133,2.0,0.0499722957611084
,,7915,,163.152.3.133,2.0,0.0501575469970703
,,7914,,163.152.3.133,2.0,0.0507624149322509
,,7917,,163.152.3.133,2.0,0.0503544807434082
,,7918,,163.152.3.133,2.0,0.0506644248962402
,,7920,,163.152.3.133,2.0,0.050065279006958
,,10543,,163.152.3.133,2.0,0.0553123950958251
,,10542,,163.152.3.133,2.0,0.0558464527130126
,,10544,,163.152.3.133,2.0,0.0557448863983154
,,10545,,163.152.3.133,2.0,0.0558516979217529
,,10546,,163.152.3.133,2.0,0.0561859607696533
,,13172,,163.152.3.133,2.0,0.0497958660125732
,,13170,,163.152.3.133,2.0,0.0503711700439453
,,13171,,163.152.3.133,2.0,0.050508975982666
,,13174,,163.152.3.133,2.0,0.0503790378570556
,,13173,,163.152.3.133,2.0,0.050689697265625
,,15804,,163.152.3.133,2.0,0.0497908592224121
,,15805,,163.152.3.133,2.0,0.0495810508728027
,,15806,,163.152.3.133,2.0,0.0499262809753418
,,15807,,163.152.3.133,2.0,0.0498311519622802
,,15808,,163.152.3.133,2.0,0.0497267246246337
,,18438,,163.152.3.133,2.0,0.0496168136596679
,,18439,,163.152.3.133,2.0,0.0495965480804443
,,21073,,163.152.3.133,2.0,0.049210786819458
,,21072,,163.152.3.133,2.0,0.0497646331787109
,,21074,,163.152.3.133,2.0,0.0496447086334228
,,21075,,163.152.3.133,2.0,0.0496947765350341
,,21076,,163.152.3.133,2.0,0.0497801303863525
,,21078,,163.152.3.133,2.0,0.0503177642822265
,,23718,,163.152.3.133,2.0,0.0494289398193359
,,23720,,163.152.3.133,2.0,0.0494036674499511
,,23719,,163.152.3.133,2.0,0.0499196052551269
,,23722,,163.152.3.133,2.0,0.0499248504638671
,,23721,,163.152.3.133,2.0,0.0502760410308837
,,23724,,163.152.3.133,2.0,0.0498197078704834
,,26346,,163.152.3.133,2.0,0.0492994785308837
,,26348,,163.152.3.133,2.0,0.0492072105407714
,,26349,,163.152.3.133,2.0,0.0493803024291992
,,26347,,163.152.3.133,2.0,0.0498549938201904
,,26350,,163.152.3.133,2.0,0.0496680736541748
,,27549,,163.152.3.133,2.0,0.0487382411956787
,,27548,,163.152.3.133,2.0,0.0496776103973388
,,27550,,163.152.3.133,2.0,0.0496516227722168
,,27551,,163.152.3.133,2.0,0.0497419834136962
,,27554,,163.152.3.133,2.0,0.0490427017211914
,,27552,,163.152.3.133,2.0,0.0497090816497802
,,27555,,163.152.3.133,2.0,0.0495197772979736
,,27553,,163.152.3.133,2.0,0.0499904155731201
,,27556,,163.152.3.133,2.0,0.049821138381958
,,27557,,163.152.3.133,2.0,0.0499417781829834
,,27558,,163.152.3.133,2.0,0.0493595600128173
,,27559,,163.152.3.133,2.0,0.0494389533996582
,,27560,,163.152.3.133,2.0,0.0495624542236328
,,27561,,163.152.3.133,2.0,0.049701452255249
,,27562,,163.152.3.133,2.0,0.0497875213623046
,,27563,,163.152.3.133,2.0,0.0498766899108886
,,27564,,163.152.3.133,2.0,0.0494427680969238
,,27565,,163.152.3.133,2.0,0.0495285987854003
,,27566,,163.152.3.133,2.0,0.049617052078247
,,27567,,163.152.3.133,2.0,0.0496904850006103
,,27568,,163.152.3.133,2.0,0.0497353076934814
,,27569,,163.152.3.133,2.0,0.049809455871582
,,27570,,163.152.3.133,2.0,0.0492572784423828
,,27571,,163.152.3.133,2.0,0.0493814945220947
,,27573,,163.152.3.133,2.0,0.0493180751800537
,,27572,,163.152.3.133,2.0,0.0497074127197265
,,27574,,163.152.3.133,2.0,0.0496225357055664
,,27575,,163.152.3.133,2.0,0.0497035980224609
,,27576,,163.152.3.133,2.0,0.0490851402282714
,,27579,,163.152.3.133,2.0,0.0489144325256347
,,27580,,163.152.3.133,2.0,0.0490660667419433
,,27577,,163.152.3.133,2.0,0.0496857166290283
,,27578,,163.152.3.133,2.0,0.0499484539031982
,,27581,,163.152.3.133,2.0,0.049922227859497
,,27582,,163.152.3.133,2.0,0.0491182804107666
,,27585,,163.152.3.133,2.0,0.0490036010742187
,,27584,,163.152.3.133,2.0,0.049462080001831
,,27583,,163.152.3.133,2.0,0.0499088764190673
,,27586,,163.152.3.133,2.0,0.0498232841491699
,,27587,,163.152.3.133,2.0,0.0499558448791503
,,27589,,163.152.3.133,2.0,0.0492191314697265
,,27588,,163.152.3.133,2.0,0.0498461723327636
,,28993,,163.152.3.133,2.0,0.0492253303527832
,,28992,,163.152.3.133,2.0,0.0498371124267578
,,28994,,163.152.3.133,2.0,0.049647569656372
,,28996,,163.152.3.133,2.0,0.0495219230651855
,,28995,,163.152.3.133,2.0,0.0498816967010498
,,28998,,163.152.3.133,2.0,0.0494294166564941
,,31621,,163.152.3.133,2.0,0.0489685535430908
,,31620,,163.152.3.133,2.0,0.0495316982269287
,,31623,,163.152.3.133,2.0,0.0492901802062988
,,31624,,163.152.3.133,2.0,0.0494568347930908
,,31622,,163.152.3.133,2.0,0.0499825477600097
,,31627,,163.152.3.133,2.0,0.048959732055664
,,31629,,163.152.3.133,2.0,0.0489125251770019
,,31626,,163.152.3.133,2.0,0.0497825145721435
,,31628,,163.152.3.133,2.0,0.0496385097503662
,,31630,,163.152.3.133,2.0,0.0495727062225341
,,34254,,163.152.3.133,2.0,0.0497548580169677
,,34255,,163.152.3.133,2.0,0.0507533550262451
,,42138,,163.152.3.133,2.0,0.0486702919006347
,,42139,,163.152.3.133,2.0,0.0486204624176025
,,42140,,163.152.3.133,2.0,0.0489752292633056
,,42142,,163.152.3.133,2.0,0.0489671230316162
,,42141,,163.152.3.133,2.0,0.0492177009582519
,,44772,,163.152.3.133,2.0,0.0485379695892334
,,44774,,163.152.3.133,2.0,0.0484523773193359
,,44773,,163.152.3.133,2.0,0.0489318370819091
,,44775,,163.152.3.133,2.0,0.0489015579223632
,,44776,,163.152.3.133,2.0,0.0489108562469482
,,44779,,163.152.3.133,2.0,0.0498766899108886
,,44778,,163.152.3.133,2.0,0.0504107475280761
,,44780,,163.152.3.133,2.0,0.0503883361816406
,,44781,,163.152.3.133,2.0,0.0505509376525878
,,44782,,163.152.3.133,2.0,0.0506343841552734
