Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
163.152.161.52,1.0,0,0.0917055606842041,163.152.3.133,2.0,0.0513479709625244,0.0403575897216797
163.152.161.52,1.0,1,0.1220653057098388,163.152.3.133,2.0,0.0505273342132568,0.071537971496582
163.152.161.52,1.0,2,0.151865005493164,163.152.3.133,2.0,0.0510926246643066,0.10077238082885741
163.152.161.52,1.0,5,0.1611676216125488,163.152.3.133,2.0,0.05112886428833,0.1100387573242188
163.152.161.52,1.0,3,0.1646673679351806,163.152.3.133,2.0,0.0513579845428466,0.11330938339233401
163.152.161.52,1.0,4,0.1681690216064453,163.152.3.133,2.0,0.050704002380371,0.11746501922607432
163.152.161.52,1.0,6,0.1405103206634521,163.152.3.133,2.0,0.0506532192230224,0.08985710144042969
163.152.161.52,1.0,7,0.143312931060791,163.152.3.133,2.0,0.0499622821807861,0.09335064888000488
163.152.161.52,1.0,8,0.14717698097229,163.152.3.133,2.0,0.050330638885498,0.09684634208679202
163.152.161.52,1.0,11,0.1499948501586914,163.152.3.133,2.0,0.0507073402404785,0.0992875099182129
163.152.161.52,1.0,9,0.1521987915039062,163.152.3.133,2.0,0.0508961677551269,0.1013026237487793
163.152.161.52,1.0,10,0.1599085330963134,163.152.3.133,2.0,0.0504717826843261,0.10943675041198729
163.152.161.52,1.0,17,0.2575814723968506,163.152.3.133,2.0,0.0514149665832519,0.2061665058135987
163.152.161.52,1.0,12,0.2587201595306396,163.152.3.133,2.0,0.0512259006500244,0.20749425888061518
163.152.161.52,1.0,13,0.2603673934936523,163.152.3.133,2.0,0.0505592823028564,0.2098081111907959
163.152.161.52,1.0,14,0.2616236209869385,163.152.3.133,2.0,0.0507261753082275,0.210897445678711
163.152.161.52,1.0,15,0.2630088329315185,163.152.3.133,2.0,0.0512008666992187,0.2118079662322998
163.152.161.52,1.0,16,0.2641720771789551,163.152.3.133,2.0,0.0509560108184814,0.2132160663604737
163.152.161.52,1.0,18,0.2343811988830566,163.152.3.133,2.0,0.0511999130249023,0.1831812858581543
163.152.161.52,1.0,23,0.233285903930664,163.152.3.133,2.0,0.0503661632537841,0.1829197406768799
163.152.161.52,1.0,19,0.2355501651763916,163.152.3.133,2.0,0.0501661300659179,0.1853840351104737
163.152.161.52,1.0,20,0.2360672950744629,163.152.3.133,2.0,0.0502312183380126,0.1858360767364503
163.152.161.52,1.0,21,0.2372872829437255,163.152.3.133,2.0,0.0501890182495117,0.1870982646942138
163.152.161.52,1.0,22,0.2386209964752197,163.152.3.133,2.0,0.0503482818603515,0.1882727146148682
163.152.161.52,1.0,24,0.2305855751037597,163.152.3.133,2.0,0.0502746105194091,0.1803109645843506
163.152.161.52,1.0,25,0.233051061630249,163.152.3.133,2.0,0.0499007701873779,0.1831502914428711
163.152.161.52,1.0,26,0.2330398559570312,163.152.3.133,2.0,0.0504417419433593,0.1825981140136719
163.152.161.52,1.0,29,0.2327783107757568,163.152.3.133,2.0,0.0506443977355957,0.1821339130401611
163.152.161.52,1.0,27,0.2339165210723877,163.152.3.133,2.0,0.0502004623413085,0.1837160587310792
163.152.161.52,1.0,28,0.2372217178344726,163.152.3.133,2.0,0.0507102012634277,0.1865115165710449
163.152.161.52,1.0,35,0.2020542621612548,163.152.3.133,2.0,0.0501058101654052,0.1519484519958496
163.152.161.52,1.0,30,0.204017162322998,163.152.3.133,2.0,0.0503041744232177,0.1537129878997803
163.152.161.52,1.0,31,0.2043557167053222,163.152.3.133,2.0,0.0504579544067382,0.153897762298584
163.152.161.52,1.0,32,0.2055792808532714,163.152.3.133,2.0,0.0496675968170166,0.1559116840362548
163.152.161.52,1.0,33,0.2065274715423584,163.152.3.133,2.0,0.0499792098999023,0.1565482616424561
163.152.161.52,1.0,34,0.2065777778625488,163.152.3.133,2.0,0.0502107143402099,0.1563670635223389
163.152.161.52,1.0,36,0.1752800941467285,163.152.3.133,2.0,0.0500476360321044,0.12523245811462408
163.152.161.52,1.0,37,0.175182819366455,163.152.3.133,2.0,0.0503265857696533,0.1248562335968017
163.152.161.52,1.0,38,0.181281566619873,163.152.3.133,2.0,0.050297737121582,0.130983829498291
163.152.161.52,1.0,41,0.3039045333862304,163.152.3.133,2.0,0.0504226684570312,0.2534818649291992
163.152.161.52,1.0,39,0.3074953556060791,163.152.3.133,2.0,0.0504474639892578,0.2570478916168213
163.152.161.52,1.0,40,0.315561294555664,163.152.3.133,2.0,0.0500094890594482,0.2655518054962158
163.152.161.52,1.0,47,0.280644416809082,163.152.3.133,2.0,0.0505697727203369,0.23007464408874506
163.152.161.52,1.0,42,0.2891354560852051,163.152.3.133,2.0,0.0508694648742675,0.23826599121093758
163.152.161.52,1.0,43,0.2894783020019531,163.152.3.133,2.0,0.0503137111663818,0.23916459083557132
163.152.161.52,1.0,44,0.2895009517669678,163.152.3.133,2.0,0.050574779510498,0.23892617225646978
163.152.161.52,1.0,45,0.2908458709716797,163.152.3.133,2.0,0.0504956245422363,0.2403502464294434
163.152.161.52,1.0,46,0.2916328907012939,163.152.3.133,2.0,0.0504708290100097,0.24116206169128418
163.152.161.52,1.0,48,0.2613542079925537,163.152.3.133,2.0,0.0520987510681152,0.2092554569244385
163.152.161.52,1.0,49,0.261531114578247,163.152.3.133,2.0,0.0516688823699951,0.2098622322082519
163.152.161.52,1.0,50,0.2616002559661865,163.152.3.133,2.0,0.0522401332855224,0.20936012268066412
163.152.161.52,1.0,51,0.329641580581665,163.152.3.133,2.0,0.0520751476287841,0.27756643295288086
163.152.161.52,1.0,52,0.4343791007995605,163.152.3.133,2.0,0.0522513389587402,0.3821277618408203
163.152.161.52,1.0,53,0.4371592998504638,163.152.3.133,2.0,0.0521247386932373,0.3850345611572265
163.152.161.52,1.0,54,0.4053373336791992,163.152.3.133,2.0,0.0505816936492919,0.35475564002990734
163.152.161.52,1.0,55,0.4129846096038818,163.152.3.133,2.0,0.0500037670135498,0.362980842590332
163.152.161.52,1.0,56,0.4134695529937744,163.152.3.133,2.0,0.0506918430328369,0.3627777099609375
163.152.161.52,1.0,57,0.4132769107818603,163.152.3.133,2.0,0.0501277446746826,0.3631491661071777
163.152.161.52,1.0,58,0.4153859615325928,163.152.3.133,2.0,0.0504066944122314,0.3649792671203614
163.152.161.52,1.0,59,0.415090799331665,163.152.3.133,2.0,0.050290822982788,0.36479997634887695
163.152.161.52,1.0,60,0.3851056098937988,163.152.3.133,2.0,0.0520017147064209,0.3331038951873779
163.152.161.52,1.0,61,0.3852207660675049,163.152.3.133,2.0,0.052103042602539,0.3331177234649659
163.152.161.52,1.0,62,0.384965181350708,163.152.3.133,2.0,0.0515472888946533,0.3334178924560547
163.152.161.52,1.0,63,0.3855278491973877,163.152.3.133,2.0,0.0519092082977294,0.3336186408996583
163.152.161.52,1.0,64,0.3858230113983154,163.152.3.133,2.0,0.0514397621154785,0.33438324928283686
163.152.161.52,1.0,65,0.385622501373291,163.152.3.133,2.0,0.0516014099121093,0.3340210914611817
163.152.161.52,1.0,66,0.3526852130889892,163.152.3.133,2.0,0.0502161979675293,0.3024690151214599
163.152.161.52,1.0,67,0.3529298305511474,163.152.3.133,2.0,0.0505378246307373,0.3023920059204101
163.152.161.52,1.0,68,0.3523151874542236,163.152.3.133,2.0,0.0501806735992431,0.30213451385498047
163.152.161.52,1.0,69,0.3536467552185058,163.152.3.133,2.0,0.0502693653106689,0.3033773899078369
163.152.161.52,1.0,71,0.353302001953125,163.152.3.133,2.0,0.0502750873565673,0.30302691459655773
163.152.161.52,1.0,70,0.3540515899658203,163.152.3.133,2.0,0.0503666400909423,0.30368494987487804
163.152.161.52,1.0,72,0.3204293251037597,163.152.3.133,2.0,0.0505220890045166,0.2699072360992431
163.152.161.52,1.0,73,0.32106614112854,163.152.3.133,2.0,0.0503888130187988,0.2706773281097412
163.152.161.52,1.0,74,0.3209946155548095,163.152.3.133,2.0,0.0506865978240966,0.2703080177307129
163.152.161.52,1.0,75,0.3218271732330322,163.152.3.133,2.0,0.051053762435913,0.27077341079711925
163.152.161.52,1.0,76,0.3223142623901367,163.152.3.133,2.0,0.0507478713989257,0.27156639099121105
163.152.161.52,1.0,77,0.3221828937530517,163.152.3.133,2.0,0.0507586002349853,0.2714242935180664
163.152.161.52,1.0,78,0.2904901504516601,163.152.3.133,2.0,0.0502736568450927,0.2402164936065674
163.152.161.52,1.0,79,0.2903180122375488,163.152.3.133,2.0,0.0502998828887939,0.24001812934875488
163.152.161.52,1.0,80,0.2901093959808349,163.152.3.133,2.0,0.0504288673400878,0.2396805286407471
163.152.161.52,1.0,83,0.2898645401000976,163.152.3.133,2.0,0.0503957271575927,0.2394688129425049
163.152.161.52,1.0,81,0.2904171943664551,163.152.3.133,2.0,0.0504982471466064,0.2399189472198487
163.152.161.52,1.0,82,0.2908868789672851,163.152.3.133,2.0,0.0504317283630371,0.240455150604248
163.152.161.52,1.0,84,0.2566533088684082,163.152.3.133,2.0,0.0499584674835205,0.2066948413848877
163.152.161.52,1.0,85,0.2570371627807617,163.152.3.133,2.0,0.0502464771270751,0.20679068565368663
163.152.161.52,1.0,86,0.2567751407623291,163.152.3.133,2.0,0.050234317779541,0.20654082298278809
163.152.161.52,1.0,87,0.2569706439971924,163.152.3.133,2.0,0.0501956939697265,0.20677495002746588
163.152.161.52,1.0,88,0.2568295001983642,163.152.3.133,2.0,0.0511999130249023,0.20562958717346191
163.152.161.52,1.0,89,0.2591376304626465,163.152.3.133,2.0,0.0511457920074462,0.20799183845520028
163.152.161.52,1.0,90,0.2259290218353271,163.152.3.133,2.0,0.0503950119018554,0.17553400993347168
163.152.161.52,1.0,91,0.2257356643676757,163.152.3.133,2.0,0.0499627590179443,0.1757729053497314
163.152.161.52,1.0,92,0.2255382537841797,163.152.3.133,2.0,0.050318956375122,0.17521929740905767
163.152.161.52,1.0,93,0.2258985042572021,163.152.3.133,2.0,0.0502505302429199,0.1756479740142822
163.152.161.52,1.0,94,0.2257678508758545,163.152.3.133,2.0,0.0504069328308105,0.175360918045044
163.152.161.52,1.0,95,0.2256338596343994,163.152.3.133,2.0,0.0503542423248291,0.17527961730957028
163.152.161.52,1.0,96,0.1922452449798584,163.152.3.133,2.0,0.0505650043487548,0.1416802406311036
163.152.161.52,1.0,97,0.1920721530914306,163.152.3.133,2.0,0.0497581958770751,0.14231395721435552
163.152.161.52,1.0,98,0.192141056060791,163.152.3.133,2.0,0.050018310546875,0.142122745513916
163.152.161.52,1.0,99,0.1918137073516845,163.152.3.133,2.0,0.0501277446746826,0.1416859626770019
163.152.161.52,1.0,101,0.1913321018218994,163.152.3.133,2.0,0.0502645969390869,0.1410675048828125
163.152.161.52,1.0,100,0.1920111179351806,163.152.3.133,2.0,0.0499317646026611,0.1420793533325195
163.152.161.52,1.0,102,0.1582343578338623,163.152.3.133,2.0,0.0521724224090576,0.1060619354248047
163.152.161.52,1.0,103,0.165797472000122,163.152.3.133,2.0,0.051459789276123,0.114337682723999
163.152.161.52,1.0,104,0.1654324531555175,163.152.3.133,2.0,0.0517523288726806,0.11368012428283689
163.152.161.52,1.0,105,0.1657366752624511,163.152.3.133,2.0,0.0521764755249023,0.11356019973754879
163.152.161.52,1.0,106,0.1681985855102539,163.152.3.133,2.0,0.0516166687011718,0.11658191680908211
163.152.161.52,1.0,107,0.1680138111114502,163.152.3.133,2.0,0.0519919395446777,0.11602187156677249
163.152.161.52,1.0,108,0.1343262195587158,163.152.3.133,2.0,0.0510871410369873,0.08323907852172849
163.152.161.52,1.0,109,0.1343500614166259,163.152.3.133,2.0,0.050189733505249,0.0841603279113769
163.152.161.52,1.0,110,0.1343171596527099,163.152.3.133,2.0,0.0504040718078613,0.0839130878448486
163.152.161.52,1.0,112,0.1346287727355957,163.152.3.133,2.0,0.0509600639343261,0.0836687088012696
163.152.161.52,1.0,111,0.1347672939300537,163.152.3.133,2.0,0.0508170127868652,0.0839502811431885
163.152.161.52,1.0,114,0.1017377376556396,163.152.3.133,2.0,0.0518801212310791,0.049857616424560505
163.152.161.52,1.0,113,0.1352910995483398,163.152.3.133,2.0,0.0510807037353515,0.08421039581298828
163.152.161.52,1.0,115,0.1018006801605224,163.152.3.133,2.0,0.0519256591796875,0.049875020980834905
163.152.161.52,1.0,116,0.10221529006958,163.152.3.133,2.0,0.0524652004241943,0.049750089645385694
163.152.161.52,1.0,117,0.1022384166717529,163.152.3.133,2.0,0.0525445938110351,0.0496938228607178
163.152.161.52,1.0,118,0.1022441387176513,163.152.3.133,2.0,0.0522334575653076,0.050010681152343694
163.152.161.52,1.0,119,0.1071360111236572,163.152.3.133,2.0,0.0528810024261474,0.0542550086975098
163.152.161.52,1.0,120,0.0742418766021728,163.152.3.133,2.0,0.0498673915863037,0.0243744850158691
163.152.161.52,1.0,121,0.0742709636688232,163.152.3.133,2.0,0.0504186153411865,0.023852348327636698
163.152.161.52,1.0,122,0.0748050212860107,163.152.3.133,2.0,0.0504696369171142,0.024335384368896498
163.152.161.52,1.0,123,0.0748600959777832,163.152.3.133,2.0,0.0504026412963867,0.024457454681396505
163.152.161.52,1.0,124,0.0755579471588134,163.152.3.133,2.0,0.0497694015502929,0.025788545608520494
163.152.161.52,1.0,125,0.0755708217620849,163.152.3.133,2.0,0.0509028434753418,0.02466797828674311
163.152.161.52,1.0,143,0.0780589580535888,163.152.3.133,2.0,0.0524158477783203,0.0256431102752685
163.152.161.52,1.0,161,0.0747301578521728,163.152.3.133,2.0,0.0504438877105712,0.024286270141601597
163.152.161.52,1.0,156,0.079517126083374,163.152.3.133,2.0,0.0503559112548828,0.029161214828491197
163.152.161.52,1.0,157,0.0791547298431396,163.152.3.133,2.0,0.050217866897583,0.028936862945556606
163.152.161.52,1.0,158,0.0789210796356201,163.152.3.133,2.0,0.0501494407653808,0.028771638870239306
163.152.161.52,1.0,159,0.0791327953338623,163.152.3.133,2.0,0.0505621433258056,0.028570652008056703
163.152.161.52,1.0,160,0.0789911746978759,163.152.3.133,2.0,0.0499131679534912,0.029078006744384696
163.152.161.52,1.0,174,0.0776786804199218,163.152.3.133,2.0,0.051464557647705,0.026214122772216804
163.152.161.52,1.0,175,0.078057050704956,163.152.3.133,2.0,0.0517303943634033,0.0263266563415527
163.152.161.52,1.0,176,0.0780990123748779,163.152.3.133,2.0,0.0511331558227539,0.026965856552124003
163.152.161.52,1.0,177,0.0780682563781738,163.152.3.133,2.0,0.0515017509460449,0.0265665054321289
163.152.161.52,1.0,178,0.0780603885650634,163.152.3.133,2.0,0.051527976989746,0.026532411575317397
163.152.161.52,1.0,180,0.0770080089569091,163.152.3.133,2.0,0.0501909255981445,0.0268170833587646
163.152.161.52,1.0,181,0.07688570022583,163.152.3.133,2.0,0.0502045154571533,0.026681184768676695
163.152.161.52,1.0,182,0.0771982669830322,163.152.3.133,2.0,0.0510158538818359,0.026182413101196296
163.152.161.52,1.0,183,0.0803046226501464,163.152.3.133,2.0,0.0509006977081298,0.0294039249420166
163.152.161.52,1.0,184,0.0800893306732177,163.152.3.133,2.0,0.0501487255096435,0.029940605163574205
163.152.161.52,1.0,196,0.0838298797607421,163.152.3.133,2.0,0.0504093170166015,0.033420562744140604
163.152.161.52,1.0,195,0.0844292640686035,163.152.3.133,2.0,0.050248384475708,0.0341808795928955
163.152.161.52,1.0,235,0.0717475414276123,163.152.3.133,2.0,0.0504133701324462,0.021334171295166106
163.152.161.52,1.0,236,0.0726046562194824,163.152.3.133,2.0,0.0499355792999267,0.022669076919555692
163.152.161.52,1.0,238,0.0719530582427978,163.152.3.133,2.0,0.0501010417938232,0.021852016448974595
163.152.161.52,1.0,237,0.0724704265594482,163.152.3.133,2.0,0.0502831935882568,0.0221872329711914
163.152.161.52,1.0,256,0.0824329853057861,163.152.3.133,2.0,0.054807424545288,0.027625560760498102
163.152.161.52,1.0,275,0.1052298545837402,163.152.3.133,2.0,0.0506608486175537,0.05456900596618651
163.152.161.52,1.0,270,0.11826753616333,163.152.3.133,2.0,0.0505511760711669,0.06771636009216309
163.152.161.52,1.0,271,0.1186985969543457,163.152.3.133,2.0,0.0507369041442871,0.0679616928100586
163.152.161.52,1.0,272,0.1184926033020019,163.152.3.133,2.0,0.0507459640502929,0.067746639251709
163.152.161.52,1.0,273,0.1183106899261474,163.152.3.133,2.0,0.0507063865661621,0.0676043033599853
163.152.161.52,1.0,274,0.1186654567718505,163.152.3.133,2.0,0.0505611896514892,0.0681042671203613
163.152.161.52,1.0,281,0.1437678337097168,163.152.3.133,2.0,0.0503294467926025,0.0934383869171143
163.152.161.52,1.0,287,0.1112492084503173,163.152.3.133,2.0,0.0504539012908935,0.0607953071594238
163.152.161.52,1.0,293,0.0766763687133789,163.152.3.133,2.0,0.0501816272735595,0.026494741439819405
163.152.161.52,1.0,276,0.1568746566772461,163.152.3.133,2.0,0.0504708290100097,0.10640382766723638
163.152.161.52,1.0,277,0.1570773124694824,163.152.3.133,2.0,0.0500698089599609,0.10700750350952148
163.152.161.52,1.0,278,0.1569674015045166,163.152.3.133,2.0,0.0503566265106201,0.1066107749938965
163.152.161.52,1.0,280,0.1577987670898437,163.152.3.133,2.0,0.0500297546386718,0.1077690124511719
163.152.161.52,1.0,279,0.1580660343170166,163.152.3.133,2.0,0.0504388809204101,0.1076271533966065
163.152.161.52,1.0,282,0.1239547729492187,163.152.3.133,2.0,0.0498497486114501,0.0741050243377686
163.152.161.52,1.0,283,0.1246416568756103,163.152.3.133,2.0,0.0501594543457031,0.0744822025299072
163.152.161.52,1.0,284,0.1244356632232666,163.152.3.133,2.0,0.0498545169830322,0.0745811462402344
163.152.161.52,1.0,285,0.1266553401947021,163.152.3.133,2.0,0.0501370429992675,0.0765182971954346
163.152.161.52,1.0,286,0.126453161239624,163.152.3.133,2.0,0.0500209331512451,0.07643222808837889
163.152.161.52,1.0,288,0.0924396514892578,163.152.3.133,2.0,0.0504939556121826,0.041945695877075195
163.152.161.52,1.0,290,0.0926096439361572,163.152.3.133,2.0,0.0503902435302734,0.042219400405883796
163.152.161.52,1.0,289,0.0928950309753418,163.152.3.133,2.0,0.0500674247741699,0.042827606201171896
163.152.161.52,1.0,292,0.0920541286468505,163.152.3.133,2.0,0.0498931407928466,0.0421609878540039
163.152.161.52,1.0,291,0.0931107997894287,163.152.3.133,2.0,0.0500128269195556,0.043097972869873095
163.152.161.52,1.0,335,0.0994853973388671,163.152.3.133,2.0,0.050128698348999,0.0493566989898681
163.152.161.52,1.0,333,0.1099030971527099,163.152.3.133,2.0,0.050257921218872,0.059645175933837905
163.152.161.52,1.0,334,0.1096143722534179,163.152.3.133,2.0,0.0504627227783203,0.0591516494750976
163.152.161.52,1.0,336,0.0767359733581543,163.152.3.133,2.0,0.0515990257263183,0.025136947631836
163.152.161.52,1.0,337,0.076453685760498,163.152.3.133,2.0,0.0518796443939209,0.024574041366577107
163.152.161.52,1.0,338,0.0760829448699951,163.152.3.133,2.0,0.0516414642333984,0.0244414806365967
163.152.161.52,1.0,339,0.0763816833496093,163.152.3.133,2.0,0.0510320663452148,0.025349617004394503
163.152.161.52,1.0,340,0.0761642456054687,163.152.3.133,2.0,0.0505459308624267,0.025618314743041992
163.152.161.52,1.0,345,0.0706770420074462,163.152.3.133,2.0,0.0499200820922851,0.020756959915161105
163.152.161.52,1.0,346,0.0704669952392578,163.152.3.133,2.0,0.0497517585754394,0.0207152366638184
163.152.161.52,1.0,353,0.0756919384002685,163.152.3.133,2.0,0.0500769615173339,0.025614976882934598
163.152.161.52,1.0,351,0.083636999130249,163.152.3.133,2.0,0.0498716831207275,0.0337653160095215
163.152.161.52,1.0,352,0.0839965343475341,163.152.3.133,2.0,0.050163984298706,0.0338325500488281
163.152.161.52,1.0,360,0.0771071910858154,163.152.3.133,2.0,0.0501620769500732,0.0269451141357422
163.152.161.52,1.0,361,0.0777258872985839,163.152.3.133,2.0,0.0502223968505859,0.027503490447998
163.152.161.52,1.0,362,0.0776822566986084,163.152.3.133,2.0,0.0502681732177734,0.027414083480834996
163.152.161.52,1.0,363,0.077566385269165,163.152.3.133,2.0,0.050208568572998,0.027357816696167
163.152.161.52,1.0,364,0.0777673721313476,163.152.3.133,2.0,0.0501580238342285,0.0276093482971191
163.152.161.52,1.0,366,0.072392463684082,163.152.3.133,2.0,0.0503833293914794,0.0220091342926026
163.152.161.52,1.0,371,0.0747053623199462,163.152.3.133,2.0,0.0502581596374511,0.024447202682495103
163.152.161.52,1.0,367,0.0866274833679199,163.152.3.133,2.0,0.0499324798583984,0.03669500350952149
163.152.161.52,1.0,368,0.0874209403991699,163.152.3.133,2.0,0.0503168106079101,0.03710412979125979
163.152.161.52,1.0,369,0.0874743461608886,163.152.3.133,2.0,0.0502469539642334,0.037227392196655204
163.152.161.52,1.0,370,0.0874519348144531,163.152.3.133,2.0,0.0501258373260498,0.0373260974884033
163.152.161.52,1.0,372,0.0770506858825683,163.152.3.133,2.0,0.0500786304473876,0.026972055435180706
163.152.161.52,1.0,377,0.0761425495147705,163.152.3.133,2.0,0.0502960681915283,0.025846481323242194
163.152.161.52,1.0,373,0.0773463249206543,163.152.3.133,2.0,0.0501458644866943,0.027200460433959996
163.152.161.52,1.0,374,0.0773272514343261,163.152.3.133,2.0,0.0501182079315185,0.027209043502807603
163.152.161.52,1.0,375,0.0782783031463623,163.152.3.133,2.0,0.0505530834197998,0.027725219726562507
163.152.161.52,1.0,376,0.0885396003723144,163.152.3.133,2.0,0.0497939586639404,0.038745641708373996
163.152.161.52,1.0,389,0.1235866546630859,163.152.3.133,2.0,0.0501444339752197,0.0734422206878662
163.152.161.52,1.0,395,0.092336893081665,163.152.3.133,2.0,0.0505645275115966,0.041772365570068394
163.152.161.52,1.0,384,0.1395161151885986,163.152.3.133,2.0,0.0502562522888183,0.0892598628997803
163.152.161.52,1.0,385,0.1395289897918701,163.152.3.133,2.0,0.0505940914154052,0.0889348983764649
163.152.161.52,1.0,386,0.1394810676574707,163.152.3.133,2.0,0.0498788356781005,0.0896022319793702
163.152.161.52,1.0,387,0.1394414901733398,163.152.3.133,2.0,0.0503208637237548,0.08912062644958499
163.152.161.52,1.0,390,0.1055381298065185,163.152.3.133,2.0,0.0508129596710205,0.054725170135498
163.152.161.52,1.0,388,0.1399118900299072,163.152.3.133,2.0,0.0499701499938964,0.0899417400360108
