Timestamp,Interface,Sequence Number,Latency
1721285492.8447614,Interface 2,63,17.34220004081726
1721285492.8447614,Interface 2,63,17.34220004081726
1721285492.8776677,Interface 2,64,17.342588424682617
1721285492.8776677,Interface 2,64,17.342588424682617
1721285492.911268,Interface 2,65,17.34146022796631
1721285492.911268,Interface 2,65,17.34146022796631
1721285492.9495878,Interface 2,66,17.347594499588013
1721285492.9495878,Interface 2,66,17.347594499588013
1721285492.9783611,Interface 2,67,17.341960430145264
1721285492.9783611,Interface 2,67,17.341960430145264
1721285493.0122788,Interface 2,68,17.341997385025024
1721285493.0122788,Interface 2,68,17.341997385025024
1721285493.0459864,Interface 2,69,17.342007637023926
1721285493.0459864,Interface 2,69,17.342007637023926
1721285493.0786865,Interface 2,70,17.341924905776978
1721285493.0786865,Interface 2,70,17.341924905776978
1721285493.112568,Interface 2,71,17.341548919677734
1721285493.112568,Interface 2,71,17.341548919677734
1721285493.1456587,Interface 2,72,17.341479301452637
1721285493.1456587,Interface 2,72,17.341479301452637
1721285493.1793332,Interface 2,73,17.342187881469727
1721285493.1793332,Interface 2,73,17.342187881469727
1721285493.2121,Interface 2,74,17.342064142227173
1721285493.2121,Interface 2,74,17.342064142227173
1721285493.2452173,Interface 2,75,17.340362310409546
1721285493.2452173,Interface 2,75,17.340362310409546
1721285493.279121,Interface 2,76,17.341021299362183
1721285493.279121,Interface 2,76,17.341021299362183
1721285493.312986,Interface 2,77,17.341899394989014
1721285493.312986,Interface 2,77,17.341899394989014
1721285493.3470862,Interface 2,78,17.34164524078369
1721285493.3470862,Interface 2,78,17.34164524078369
1721285493.3801754,Interface 2,79,17.342308521270752
1721285493.3801754,Interface 2,79,17.342308521270752
1721285493.4144163,Interface 2,80,17.34327220916748
1721285493.4144163,Interface 2,80,17.34327220916748
1721285493.447553,Interface 2,81,17.34054446220398
1721285493.447553,Interface 2,81,17.34054446220398
1721285493.4814239,Interface 2,82,17.343494653701782
1721285493.4814239,Interface 2,82,17.343494653701782
1721285493.5144897,Interface 2,83,17.343605756759644
1721285493.5144897,Interface 2,83,17.343605756759644
1721285493.5466,Interface 2,84,17.341625213623047
1721285493.5466,Interface 2,84,17.341625213623047
1721285493.5820262,Interface 2,85,17.3427791595459
1721285493.5820262,Interface 2,85,17.3427791595459
1721285493.614816,Interface 2,86,17.343637943267822
1721285493.614816,Interface 2,86,17.343637943267822
1721285493.648375,Interface 2,87,17.343547821044922
1721285493.648375,Interface 2,87,17.343547821044922
1721285493.68139,Interface 2,88,17.34267020225525
1721285493.68139,Interface 2,88,17.34267020225525
1721285493.716172,Interface 2,89,17.34455633163452
1721285493.716172,Interface 2,89,17.34455633163452
1721285493.7505436,Interface 2,90,17.34518337249756
1721285493.7505436,Interface 2,90,17.34518337249756
1721285493.7833848,Interface 2,91,17.344645023345947
1721285493.7833848,Interface 2,91,17.344645023345947
1721285493.8161597,Interface 2,92,17.342976093292236
1721285493.8161597,Interface 2,92,17.342976093292236
1721285493.849499,Interface 2,93,17.342552661895752
1721285493.849499,Interface 2,93,17.342552661895752
1721285493.8830154,Interface 2,94,17.34310030937195
1721285493.8830154,Interface 2,94,17.34310030937195
1721285493.9169016,Interface 2,95,17.343103408813477
1721285493.9169016,Interface 2,95,17.343103408813477
1721285493.9526744,Interface 2,96,17.345117807388306
1721285493.9526744,Interface 2,96,17.345117807388306
1721285493.9834983,Interface 2,97,17.341978788375854
1721285493.9834983,Interface 2,97,17.341978788375854
1721285494.0173573,Interface 2,98,17.342714309692383
1721285494.0173573,Interface 2,98,17.342714309692383
1721285494.0538762,Interface 2,99,17.34475612640381
1721285494.0538762,Interface 2,99,17.34475612640381
1721285494.0851207,Interface 2,100,17.34130549430847
1721285494.0851207,Interface 2,100,17.34130549430847
1721285494.1173136,Interface 2,101,17.34206509590149
1721285494.1173136,Interface 2,101,17.34206509590149
1721285494.1514459,Interface 2,102,17.34281015396118
1721285494.1514459,Interface 2,102,17.34281015396118
1721285494.1856887,Interface 2,103,17.33627986907959
1721285494.1856887,Interface 2,103,17.33627986907959
1721285494.2202759,Interface 2,104,17.34490418434143
1721285494.2202759,Interface 2,104,17.34490418434143
1721285494.254271,Interface 2,105,17.345433950424194
1721285494.254271,Interface 2,105,17.345433950424194
1721285494.286298,Interface 2,106,17.343469858169556
1721285494.286298,Interface 2,106,17.343469858169556
1721285494.3196998,Interface 2,107,17.342942237854004
1721285494.3196998,Interface 2,107,17.342942237854004
1721285494.3528287,Interface 2,108,17.342508792877197
1721285494.3528287,Interface 2,108,17.342508792877197
1721285494.386709,Interface 2,109,17.343106031417847
1721285494.386709,Interface 2,109,17.343106031417847
1721285494.4197202,Interface 2,110,17.3423855304718
1721285494.4197202,Interface 2,110,17.3423855304718
1721285494.4563541,Interface 2,111,17.344939470291138
1721285494.4563541,Interface 2,111,17.344939470291138
1721285494.4872909,Interface 2,112,17.344001054763794
