Interface,Sequence Number,Arrival Time,Latency
121.128.92.46,285,1721294439.905381,0.20540404319763184
121.128.92.46,286,1721294439.9378984,0.20468544960021973
121.128.92.46,287,1721294439.9718878,0.2049849033355713
121.128.92.46,288,1721294440.0087345,0.2081923484802246
121.128.92.46,289,1721294440.038967,0.20486688613891602
121.128.92.46,290,1721294440.0727239,0.20508074760437012
121.128.92.46,291,1721294440.1075573,0.2061753273010254
121.128.92.46,292,1721294440.1438525,0.20871448516845703
121.128.92.46,293,1721294440.176381,0.20749616622924805
121.128.92.46,294,1721294440.2091367,0.20651674270629883
121.128.92.46,295,1721294440.2409399,0.20464277267456055
121.128.92.46,296,1721294440.2745318,0.20489072799682617
121.128.92.46,297,1721294440.3085556,0.20530366897583008
121.128.92.46,298,1721294440.3450599,0.20807385444641113
121.128.92.46,299,1721294440.3761196,0.20528554916381836
121.128.92.46,300,1721294440.4089892,0.20449519157409668
121.128.92.46,301,1721294440.443104,0.20493197441101074
121.128.92.46,302,1721294440.4766307,0.2047116756439209
121.128.92.46,303,1721294440.5115469,0.20588994026184082
121.128.92.46,304,1721294440.5434675,0.20433640480041504
121.128.92.46,305,1721294440.578439,0.2057499885559082
121.128.92.46,306,1721294440.6113236,0.20481657981872559
121.128.92.46,307,1721294440.6442344,0.20446443557739258
121.128.92.46,308,1721294440.677588,0.20413994789123535
121.128.92.46,309,1721294440.7121882,0.20498323440551758
121.128.92.46,310,1721294440.7461271,0.20524120330810547
121.128.92.46,311,1721294440.7797718,0.20513582229614258
121.128.92.46,312,1721294440.8122702,0.20426106452941895
121.128.92.46,313,1721294440.848203,0.20656490325927734
121.128.92.46,314,1721294440.8810613,0.20557427406311035
121.128.92.46,315,1721294440.9139516,0.2047886848449707
121.128.92.46,316,1721294440.9479566,0.20492148399353027
121.128.92.46,317,1721294440.9816682,0.20503020286560059
121.128.92.46,318,1721294441.0156693,0.20559024810791016
121.128.92.46,319,1721294441.0515637,0.2078237533569336
121.128.92.46,320,1721294441.0890522,0.2116832733154297
121.128.92.46,321,1721294441.116139,0.20500802993774414
121.128.92.46,322,1721294441.149037,0.20467090606689453
121.128.92.46,323,1721294441.183034,0.2050950527191162
121.128.92.46,324,1721294441.2172348,0.205582857131958
121.128.92.46,325,1721294441.2496445,0.2044215202331543
121.128.92.46,326,1721294441.2962952,0.21733307838439941
121.128.92.46,327,1721294441.3174067,0.2046825885772705
121.128.92.46,328,1721294441.35114,0.20466113090515137
121.128.92.46,329,1721294441.3861868,0.20602989196777344
121.128.92.46,330,1721294441.4190726,0.20516657829284668
121.128.92.46,331,1721294441.454488,0.2067279815673828
121.128.92.46,332,1721294441.4854517,0.20436859130859375
121.128.92.46,333,1721294441.5211625,0.20652246475219727
121.128.92.46,334,1721294441.5546381,0.20683026313781738
121.128.92.46,335,1721294441.586217,0.20459294319152832
121.128.92.46,336,1721294441.620104,0.2048020362854004
121.128.92.46,337,1721294441.6539412,0.20484614372253418
121.128.92.46,338,1721294441.6873178,0.20467376708984375
121.128.92.46,339,1721294441.7216663,0.20526742935180664
121.128.92.46,340,1721294441.7565866,0.20651555061340332
121.128.92.46,341,1721294441.7887442,0.2050642967224121
121.128.92.46,342,1721294441.822624,0.20514893531799316
121.128.92.46,343,1721294441.8576992,0.20654511451721191
121.128.92.46,344,1721294441.8901987,0.20520567893981934
121.128.92.46,345,1721294441.9269588,0.2082228660583496
121.128.92.46,346,1721294441.9620223,0.20976924896240234
121.128.92.46,347,1721294441.9935582,0.2075490951538086
