Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
39.7.46.9,1.0,7940,0.102895975112915,,,
39.7.46.9,1.0,7941,0.1033518314361572,,,
39.7.46.9,1.0,7943,0.1030981540679931,,,
39.7.46.9,1.0,7942,0.103271484375,,,
39.7.46.9,1.0,20982,0.0797615051269531,,,
39.7.46.9,1.0,20983,0.0803544521331787,,,
39.7.46.9,1.0,20984,0.0802397727966308,,,
39.7.46.9,1.0,20985,0.0809979438781738,,,
39.7.46.9,1.0,20986,0.0811057090759277,,,
39.7.46.9,1.0,20987,0.0810821056365966,,,
