Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,0,,163.152.3.133,2.0,0.0527119636535644
,,1,,163.152.3.133,2.0,0.0529558658599853
,,6265,,163.152.3.133,2.0,0.0519309043884277
,,6264,,163.152.3.133,2.0,0.0524168014526367
,,6266,,163.152.3.133,2.0,0.052164077758789
,,6267,,163.152.3.133,2.0,0.0524425506591796
,,6268,,163.152.3.133,2.0,0.0523741245269775
,,8821,,163.152.3.133,2.0,0.052997350692749
,,8822,,163.152.3.133,2.0,0.053046703338623
,,8820,,163.152.3.133,2.0,0.0539782047271728
,,8823,,163.152.3.133,2.0,0.0533161163330078
,,8824,,163.152.3.133,2.0,0.0548439025878906
,,8826,,163.152.3.133,2.0,0.052649974822998
,,19128,,163.152.3.133,2.0,0.0826554298400878
,,19129,,163.152.3.133,2.0,0.0825440883636474
,,19132,,163.152.3.133,2.0,0.0818743705749511
,,19130,,163.152.3.133,2.0,0.0829954147338867
,,19131,,163.152.3.133,2.0,0.0830657482147216
,,19135,,163.152.3.133,2.0,0.0726737976074218
,,19134,,163.152.3.133,2.0,0.073246955871582
,,19136,,163.152.3.133,2.0,0.0730319023132324
,,19138,,163.152.3.133,2.0,0.0728087425231933
,,19137,,163.152.3.133,2.0,0.0732624530792236
,,21720,,163.152.3.133,2.0,0.0520484447479248
,,21721,,163.152.3.133,2.0,0.0518999099731445
,,21722,,163.152.3.133,2.0,0.0520601272583007
,,21723,,163.152.3.133,2.0,0.0519890785217285
,,21724,,163.152.3.133,2.0,0.0519566535949707
,,21727,,163.152.3.133,2.0,0.0519509315490722
,,21726,,163.152.3.133,2.0,0.0526254177093505
,,21728,,163.152.3.133,2.0,0.052070140838623
,,24282,,163.152.3.133,2.0,0.0521402359008789
,,24283,,163.152.3.133,2.0,0.0519137382507324
,,24284,,163.152.3.133,2.0,0.0521128177642822
,,24285,,163.152.3.133,2.0,0.0518708229064941
,,24286,,163.152.3.133,2.0,0.0520811080932617
,,24288,,163.152.3.133,2.0,0.0521285533905029
,,24289,,163.152.3.133,2.0,0.0521216392517089
,,24290,,163.152.3.133,2.0,0.0519940853118896
,,24291,,163.152.3.133,2.0,0.0518202781677246
,,24292,,163.152.3.133,2.0,0.0518395900726318
,,32010,,163.152.3.133,2.0,0.0520534515380859
,,32011,,163.152.3.133,2.0,0.0518515110015869
,,32012,,163.152.3.133,2.0,0.0520076751708984
,,32014,,163.152.3.133,2.0,0.052107810974121
,,32013,,163.152.3.133,2.0,0.052823781967163
,,32016,,163.152.3.133,2.0,0.0526819229125976
,,32017,,163.152.3.133,2.0,0.0528943538665771
,,32018,,163.152.3.133,2.0,0.0535304546356201
,,32019,,163.152.3.133,2.0,0.0534543991088867
,,32020,,163.152.3.133,2.0,0.0541791915893554
,,34590,,163.152.3.133,2.0,0.0520474910736084
,,34591,,163.152.3.133,2.0,0.0516557693481445
,,34592,,163.152.3.133,2.0,0.0518286228179931
,,34593,,163.152.3.133,2.0,0.0514931678771972
,,34594,,163.152.3.133,2.0,0.0519764423370361
,,34596,,163.152.3.133,2.0,0.0519032478332519
,,34597,,163.152.3.133,2.0,0.0517687797546386
,,34598,,163.152.3.133,2.0,0.0519454479217529
,,34599,,163.152.3.133,2.0,0.051924705505371
,,34600,,163.152.3.133,2.0,0.0524225234985351
,,37146,,163.152.3.133,2.0,0.0599074363708496
,,37147,,163.152.3.133,2.0,0.05971360206604
,,37148,,163.152.3.133,2.0,0.0602319240570068
,,37149,,163.152.3.133,2.0,0.060023546218872
,,37150,,163.152.3.133,2.0,0.0601563453674316
,,39733,,163.152.3.133,2.0,0.0515024662017822
,,39732,,163.152.3.133,2.0,0.0519320964813232
,,39734,,163.152.3.133,2.0,0.0518763065338134
,,39736,,163.152.3.133,2.0,0.0512926578521728
,,39735,,163.152.3.133,2.0,0.0521337985992431
,,39738,,163.152.3.133,2.0,0.0528216361999511
,,39740,,163.152.3.133,2.0,0.0527386665344238
,,39739,,163.152.3.133,2.0,0.053206443786621
,,39741,,163.152.3.133,2.0,0.0531749725341796
,,39742,,163.152.3.133,2.0,0.0532429218292236
,,39764,,163.152.3.133,2.0,0.0521512031555175
,,39765,,163.152.3.133,2.0,0.0524852275848388
,,39766,,163.152.3.133,2.0,0.052664041519165
,,39767,,163.152.3.133,2.0,0.0530569553375244
,,39768,,163.152.3.133,2.0,0.0517992973327636
,,39770,,163.152.3.133,2.0,0.0519506931304931
,,39769,,163.152.3.133,2.0,0.0522820949554443
,,39771,,163.152.3.133,2.0,0.05232834815979
,,39772,,163.152.3.133,2.0,0.052405834197998
,,39773,,163.152.3.133,2.0,0.0525205135345459
,,39776,,163.152.3.133,2.0,0.0513091087341308
,,39774,,163.152.3.133,2.0,0.0519471168518066
,,39775,,163.152.3.133,2.0,0.0521836280822753
,,39778,,163.152.3.133,2.0,0.0513250827789306
,,39777,,163.152.3.133,2.0,0.0516498088836669
,,39779,,163.152.3.133,2.0,0.0519554615020751
,,39785,,163.152.3.133,2.0,0.051478624343872
,,39781,,163.152.3.133,2.0,0.0564305782318115
,,39780,,163.152.3.133,2.0,0.0568430423736572
,,39782,,163.152.3.133,2.0,0.0567224025726318
,,39783,,163.152.3.133,2.0,0.0565302371978759
,,39784,,163.152.3.133,2.0,0.0561985969543457
,,39786,,163.152.3.133,2.0,0.0518350601196289
,,39787,,163.152.3.133,2.0,0.0517821311950683
,,39788,,163.152.3.133,2.0,0.0517580509185791
,,39789,,163.152.3.133,2.0,0.0516936779022216
,,39790,,163.152.3.133,2.0,0.0520246028900146
,,39791,,163.152.3.133,2.0,0.0521202087402343
,,39792,,163.152.3.133,2.0,0.0518763065338134
,,39793,,163.152.3.133,2.0,0.051999807357788
,,39794,,163.152.3.133,2.0,0.0519225597381591
,,39795,,163.152.3.133,2.0,0.0517306327819824
,,39796,,163.152.3.133,2.0,0.051746129989624
,,39797,,163.152.3.133,2.0,0.0520007610321044
,,39798,,163.152.3.133,2.0,0.0521883964538574
,,42324,,163.152.3.133,2.0,0.0517718791961669
,,42325,,163.152.3.133,2.0,0.0520508289337158
,,42327,,163.152.3.133,2.0,0.0516581535339355
,,42328,,163.152.3.133,2.0,0.0515048503875732
,,42326,,163.152.3.133,2.0,0.0524301528930664
,,47466,,163.152.3.133,2.0,0.052201509475708
,,47467,,163.152.3.133,2.0,0.0520460605621337
,,47468,,163.152.3.133,2.0,0.0523469448089599
,,47469,,163.152.3.133,2.0,0.0530555248260498
,,47470,,163.152.3.133,2.0,0.0529050827026367
,,47472,,163.152.3.133,2.0,0.0541384220123291
,,47474,,163.152.3.133,2.0,0.0537402629852294
,,47473,,163.152.3.133,2.0,0.0545084476470947
,,47475,,163.152.3.133,2.0,0.0540485382080078
,,47476,,163.152.3.133,2.0,0.0541560649871826
