Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,0,,118.235.73.74,2.0,0.0907733440399169
,,52,,118.235.73.74,2.0,0.0673787593841552
,,57,,118.235.73.74,2.0,0.0693597793579101
,,58,,118.235.73.74,2.0,0.0732157230377197
,,76,,118.235.73.74,2.0,0.0727887153625488
,,82,,118.235.73.74,2.0,0.0922484397888183
,,99,,118.235.73.74,2.0,0.0563380718231201
,,100,,118.235.73.74,2.0,0.0594809055328369
,,129,,118.235.73.74,2.0,0.079704999923706
,,130,,118.235.73.74,2.0,0.0823252201080322
,,142,,118.235.73.74,2.0,0.0799195766448974
,,148,,118.235.73.74,2.0,0.081301212310791
,,160,,118.235.73.74,2.0,0.0740182399749755
,,172,,118.235.73.74,2.0,0.0675528049468994
,,208,,118.235.73.74,2.0,0.088123083114624
,,220,,118.235.73.74,2.0,0.072880744934082
,,256,,118.235.73.74,2.0,0.0725517272949218
,,274,,118.235.73.74,2.0,0.0760271549224853
,,286,,118.235.73.74,2.0,0.0802757740020752
,,292,,118.235.73.74,2.0,0.0649678707122802
,,358,,118.235.73.74,2.0,0.0705165863037109
,,382,,118.235.73.74,2.0,0.0721557140350341
,,394,,118.235.73.74,2.0,0.065617561340332
,,418,,118.235.73.74,2.0,0.0708250999450683
,,423,,118.235.73.74,2.0,0.0559096336364746
,,424,,118.235.73.74,2.0,0.069521427154541
,,436,,118.235.73.74,2.0,0.0727834701538086
,,466,,118.235.73.74,2.0,0.0674195289611816
,,472,,118.235.73.74,2.0,0.072298526763916
,,496,,118.235.73.74,2.0,0.0784962177276611
,,502,,118.235.73.74,2.0,0.0640835762023925
,,525,,118.235.73.74,2.0,0.0728974342346191
,,526,,118.235.73.74,2.0,0.0755116939544677
,,538,,118.235.73.74,2.0,0.0645928382873535
,,586,,118.235.73.74,2.0,0.0672965049743652
,,615,,118.235.73.74,2.0,0.0696468353271484
,,616,,118.235.73.74,2.0,0.0719249248504638
,,622,,118.235.73.74,2.0,0.0734944343566894
,,634,,118.235.73.74,2.0,0.0656418800354003
,,700,,118.235.73.74,2.0,0.0694556236267089
,,706,,118.235.73.74,2.0,0.0748977661132812
,,742,,118.235.73.74,2.0,0.0695810317993164
,,748,,118.235.73.74,2.0,0.0684335231781005
,,766,,118.235.73.74,2.0,0.0731549263000488
,,772,,118.235.73.74,2.0,0.0659584999084472
,,784,,118.235.73.74,2.0,0.0565714836120605
,,790,,118.235.73.74,2.0,0.0733475685119628
,,796,,118.235.73.74,2.0,0.0826930999755859
,,808,,118.235.73.74,2.0,0.066899299621582
,,814,,118.235.73.74,2.0,0.0802319049835205
,,826,,118.235.73.74,2.0,0.0709736347198486
,,832,,118.235.73.74,2.0,0.0668292045593261
,,838,,118.235.73.74,2.0,0.0714237689971923
,,843,,118.235.73.74,2.0,0.0531377792358398
,,855,,118.235.73.74,2.0,0.0731263160705566
,,856,,118.235.73.74,2.0,0.0758635997772216
,,861,,118.235.73.74,2.0,0.0492842197418212
,,862,,118.235.73.74,2.0,0.0644237995147705
,,880,,118.235.73.74,2.0,0.0971288681030273
,,916,,118.235.73.74,2.0,0.0636303424835205
,,957,,118.235.73.74,2.0,0.047163963317871
,,958,,118.235.73.74,2.0,0.0494277477264404
,,976,,118.235.73.74,2.0,0.0727293491363525
,,982,,118.235.73.74,2.0,0.0599489212036132
,,1000,,118.235.73.74,2.0,0.067960500717163
,,1048,,118.235.73.74,2.0,0.0734364986419677
,,1071,,118.235.73.74,2.0,0.0725107192993164
,,1072,,118.235.73.74,2.0,0.07395601272583
,,1108,,118.235.73.74,2.0,0.0604772567749023
,,1126,,118.235.73.74,2.0,0.0666918754577636
,,1132,,118.235.73.74,2.0,0.0707476139068603
,,1162,,118.235.73.74,2.0,0.0661079883575439
,,1180,,118.235.73.74,2.0,0.055077314376831
,,1204,,118.235.73.74,2.0,0.0703191757202148
,,1222,,118.235.73.74,2.0,0.0812242031097412
,,1252,,118.235.73.74,2.0,0.0652294158935546
,,1258,,118.235.73.74,2.0,0.0644543170928955
,,1269,,118.235.73.74,2.0,0.0719373226165771
