Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
163.152.3.141,1.0,1907,0.0166003704071044,163.152.3.141,2,0.0463290214538574,0.029728651046753003
163.152.3.141,1.0,2015,0.0165176391601562,163.152.3.141,2,0.0503871440887451,0.0338695049285889
163.152.3.141,1.0,2033,0.0160844326019287,163.152.3.141,2,0.0361361503601074,0.0200517177581787
163.152.3.141,1.0,2069,0.0170004367828369,163.152.3.141,2,0.0433261394500732,0.0263257026672363
163.152.3.141,1.0,2081,0.0183379650115966,163.152.3.141,2,0.0484678745269775,0.030129909515380898
163.152.3.141,1.0,2123,0.0158333778381347,163.152.3.141,2,0.043649673461914,0.0278162956237793
163.152.3.141,1.0,2243,0.0397202968597412,163.152.3.141,2,0.0146014690399169,0.025118827819824295
163.152.3.141,1.0,2873,0.042576789855957,163.152.3.141,2,0.0141742229461669,0.028402566909790095
163.152.3.141,1.0,2879,0.052485704421997,163.152.3.141,2,0.0170354843139648,0.0354502201080322
163.152.3.141,1.0,2885,0.0377140045166015,163.152.3.141,2,0.0142555236816406,0.0234584808349609
163.152.3.141,1.0,7188,0.0457284450531005,163.152.3.141,2,0.017423391342163,0.028305053710937503
163.152.3.141,1.0,7189,0.0492169857025146,163.152.3.141,2,0.0168979167938232,0.0323190689086914
163.152.3.141,1.0,7230,0.0475780963897705,163.152.3.141,2,0.023289680480957,0.0242884159088135
163.152.3.141,1.0,9640,0.0205683708190917,163.152.3.141,2,0.05009126663208,0.029522895812988302
163.152.3.141,1.0,11777,0.0483720302581787,163.152.3.141,2,0.0155367851257324,0.032835245132446296
163.152.3.141,1.0,14591,0.0377140045166015,163.152.3.141,2,0.0162861347198486,0.0214278697967529
163.152.3.141,1.0,16589,0.0528690814971923,163.152.3.141,2,0.0164990425109863,0.036370038986206
163.152.3.141,1.0,16595,0.0486929416656494,163.152.3.141,2,0.0145087242126464,0.034184217453003
163.152.3.141,1.0,16601,0.039074420928955,163.152.3.141,2,0.0148134231567382,0.024260997772216804
163.152.3.141,1.0,17393,0.0322155952453613,163.152.3.141,2,0.0118112564086914,0.0204043388366699
163.152.3.141,1.0,17411,0.0346293449401855,163.152.3.141,2,0.0143930912017822,0.0202362537384033
163.152.3.141,1.0,17507,0.0382297039031982,163.152.3.141,2,0.014967918395996,0.0232617855072022
163.152.3.141,1.0,17513,0.0444633960723876,163.152.3.141,2,0.0128662586212158,0.0315971374511718
163.152.3.141,1.0,17929,0.0377099514007568,163.152.3.141,2,0.0125429630279541,0.0251669883728027
163.152.3.141,1.0,17930,0.0376818180084228,163.152.3.141,2,0.0130941867828369,0.024587631225585903
163.152.3.141,1.0,17931,0.0377008914947509,163.152.3.141,2,0.0124242305755615,0.0252766609191894
163.152.3.141,1.0,17932,0.0378196239471435,163.152.3.141,2,0.0129499435424804,0.0248696804046631
163.152.3.141,1.0,19139,0.0216214656829834,163.152.3.141,2,0.0440578460693359,0.022436380386352504
163.152.3.141,1.0,19145,0.0124506950378417,163.152.3.141,2,0.0422172546386718,0.0297665596008301
163.152.3.141,1.0,22002,0.0847928524017334,163.152.3.141,2,0.0225474834442138,0.0622453689575196
163.152.3.141,1.0,22025,0.0414607524871826,163.152.3.141,2,0.0124402046203613,0.029020547866821303
163.152.3.141,1.0,22031,0.0531361103057861,163.152.3.141,2,0.0122039318084716,0.040932178497314495
163.152.3.141,1.0,22313,0.0400049686431884,163.152.3.141,2,0.0131182670593261,0.026886701583862298
163.152.3.141,1.0,22349,0.0396063327789306,163.152.3.141,2,0.0136027336120605,0.026003599166870103
163.152.3.141,1.0,22877,0.0336382389068603,163.152.3.141,2,0.0110089778900146,0.022629261016845703
163.152.3.141,1.0,22901,0.0398142337799072,163.152.3.141,2,0.0116324424743652,0.028181791305542
163.152.3.141,1.0,22925,0.0337817668914794,163.152.3.141,2,0.0127387046813964,0.021043062210083
163.152.3.141,1.0,22931,0.0366864204406738,163.152.3.141,2,0.0154917240142822,0.0211946964263916
163.152.3.141,1.0,23147,0.0336158275604248,163.152.3.141,2,0.0112948417663574,0.022320985794067397
163.152.3.141,1.0,23507,0.032947301864624,163.152.3.141,2,0.011918306350708,0.021028995513916002
163.152.3.141,1.0,23525,0.0387113094329834,163.152.3.141,2,0.0107014179229736,0.0280098915100098
163.152.3.141,1.0,23532,0.0101864337921142,163.152.3.141,2,0.0350003242492675,0.0248138904571533
163.152.3.141,1.0,23537,0.056509256362915,163.152.3.141,2,0.0352129936218261,0.021296262741088895
163.152.3.141,1.0,23543,0.0332717895507812,163.152.3.141,2,0.0108983516693115,0.022373437881469702
163.152.3.141,1.0,23561,0.037086009979248,163.152.3.141,2,0.0112342834472656,0.025851726531982398
163.152.3.141,1.0,23573,0.0478079319000244,163.152.3.141,2,0.0145387649536132,0.0332691669464112
163.152.3.141,1.0,23585,0.0344126224517822,163.152.3.141,2,0.0106739997863769,0.0237386226654053
163.152.3.141,1.0,23597,0.0325264930725097,163.152.3.141,2,0.0110664367675781,0.021460056304931602
163.152.3.141,1.0,23711,0.0338571071624755,163.152.3.141,2,0.0128395557403564,0.021017551422119102
163.152.3.141,1.0,23717,0.0785732269287109,163.152.3.141,2,0.0557005405426025,0.0228726863861084
163.152.3.141,1.0,23723,0.0438354015350341,163.152.3.141,2,0.0230185985565185,0.020816802978515604
163.152.3.141,1.0,23759,0.0317292213439941,163.152.3.141,2,0.0112881660461425,0.020441055297851597
163.152.3.141,1.0,23777,0.0350313186645507,163.152.3.141,2,0.0129058361053466,0.022125482559204098
163.152.3.141,1.0,23831,0.0338156223297119,163.152.3.141,2,0.0108141899108886,0.023001432418823298
163.152.3.141,1.0,24000,0.0183277130126953,163.152.3.141,2,0.0419325828552246,0.023604869842529304
163.152.3.141,1.0,24203,0.0480318069458007,163.152.3.141,2,0.0139250755310058,0.034106731414794894
163.152.3.141,1.0,26291,0.0365030765533447,163.152.3.141,2,0.012155532836914,0.0243475437164307
163.152.3.141,1.0,26561,0.0115056037902832,163.152.3.141,2,0.0345709323883056,0.023065328598022402
163.152.3.141,1.0,26567,0.0167670249938964,163.152.3.141,2,0.0387461185455322,0.021979093551635798
163.152.3.141,1.0,26714,0.0141668319702148,163.152.3.141,2,0.0499625205993652,0.0357956886291504
163.152.3.141,1.0,26759,0.0110998153686523,163.152.3.141,2,0.0334219932556152,0.022322177886962898
163.152.3.141,1.0,26813,0.015202522277832,163.152.3.141,2,0.0357377529144287,0.020535230636596697
163.152.3.141,1.0,26819,0.010770559310913,163.152.3.141,2,0.0336482524871826,0.022877693176269604
163.152.3.141,1.0,26837,0.0103533267974853,163.152.3.141,2,0.0322005748748779,0.021847248077392602
163.152.3.141,1.0,27149,0.043180227279663,163.152.3.141,2,0.0125842094421386,0.0305960178375244
163.152.3.141,1.0,28571,0.0365827083587646,163.152.3.141,2,0.0131869316101074,0.0233957767486572
163.152.3.141,1.0,28649,0.0133094787597656,163.152.3.141,2,0.0377757549285888,0.024466276168823197
163.152.3.141,1.0,28648,0.013824462890625,163.152.3.141,2,0.0371108055114746,0.023286342620849602
163.152.3.141,1.0,32243,0.0343348979949951,163.152.3.141,2,0.0108563899993896,0.023478507995605503
163.152.3.141,1.0,32411,0.03477144241333,163.152.3.141,2,0.0132687091827392,0.0215027332305908
163.152.3.141,1.0,32549,0.0159094333648681,163.152.3.141,2,0.0398604869842529,0.0239510536193848
163.152.3.141,1.0,33002,0.0339725017547607,163.152.3.141,2,0.0119600296020507,0.022012472152710003
163.152.3.141,1.0,33443,0.0114014148712158,163.152.3.141,2,0.0425927639007568,0.031191349029541002
163.152.3.141,1.0,33449,0.0100331306457519,163.152.3.141,2,0.0463964939117431,0.036363363265991204
163.152.3.141,1.0,33641,0.0115864276885986,163.152.3.141,2,0.0445818901062011,0.032995462417602504
163.152.3.141,1.0,33647,0.0129153728485107,163.152.3.141,2,0.0386462211608886,0.025730848312377902
163.152.3.141,1.0,33767,0.0135142803192138,163.152.3.141,2,0.0383212566375732,0.024806976318359403
163.152.3.141,1.0,33773,0.0114357471466064,163.152.3.141,2,0.0479884147644043,0.03655266761779789
163.152.3.141,1.0,33779,0.0134592056274414,163.152.3.141,2,0.048720359802246,0.0352611541748046
163.152.3.141,1.0,33785,0.0136070251464843,163.152.3.141,2,0.0519344806671142,0.038327455520629904
