Interface IP,Interface ID,Sequence Number,Latency
163.152.3.141,1,5,0.03997969627380371
163.152.3.141,1,0,0.04088783264160156
163.152.3.141,1,1,0.04100227355957031
163.152.3.141,1,2,0.041182756423950195
163.152.3.141,2,5,0.041124582290649414
163.152.3.141,1,3,0.04156041145324707
163.152.3.141,1,4,0.04172825813293457
163.152.3.141,2,1,0.04198455810546875
163.152.3.141,2,0,0.04225301742553711
163.152.3.141,2,2,0.04229998588562012
163.152.3.141,2,3,0.04245424270629883
163.152.3.141,2,4,0.04260444641113281
163.152.3.141,1,6,0.012998580932617188
163.152.3.141,1,7,0.014485597610473633
163.152.3.141,2,6,0.015678882598876953
163.152.3.141,1,8,0.017384767532348633
163.152.3.141,2,7,0.01738286018371582
163.152.3.141,1,9,0.01838064193725586
163.152.3.141,2,8,0.018402814865112305
163.152.3.141,1,10,0.019020795822143555
163.152.3.141,1,11,0.019801855087280273
163.152.3.141,2,9,0.019924163818359375
163.152.3.141,2,10,0.020525455474853516
163.152.3.141,2,11,0.02182769775390625
163.152.3.141,2,12,0.013259649276733398
163.152.3.141,1,12,0.013400793075561523
163.152.3.141,2,13,0.014038324356079102
163.152.3.141,1,13,0.015717506408691406
163.152.3.141,2,14,0.019822120666503906
163.152.3.141,1,14,0.020388364791870117
163.152.3.141,2,15,0.020295143127441406
163.152.3.141,1,15,0.020965576171875
163.152.3.141,2,16,0.020931720733642578
163.152.3.141,2,17,0.02190089225769043
163.152.3.141,1,17,0.021908044815063477
163.152.3.141,1,16,0.02212357521057129
163.152.3.141,2,18,0.012970447540283203
163.152.3.141,1,18,0.013076305389404297
163.152.3.141,2,19,0.013530492782592773
163.152.3.141,1,19,0.013592004776000977
163.152.3.141,2,20,0.013914108276367188
163.152.3.141,1,20,0.014722585678100586
163.152.3.141,2,21,0.014798641204833984
163.152.3.141,1,21,0.015187978744506836
163.152.3.141,1,22,0.015207052230834961
163.152.3.141,2,22,0.015385150909423828
163.152.3.141,2,23,0.015676021575927734
163.152.3.141,1,23,0.015779495239257812
163.152.3.141,2,24,0.014237403869628906
163.152.3.141,1,24,0.01424098014831543
163.152.3.141,2,25,0.015075445175170898
163.152.3.141,1,25,0.015056133270263672
163.152.3.141,2,26,0.015581369400024414
163.152.3.141,1,26,0.015576601028442383
163.152.3.141,2,27,0.015810489654541016
163.152.3.141,1,27,0.016362905502319336
163.152.3.141,2,28,0.01637411117553711
163.152.3.141,2,29,0.016268253326416016
163.152.3.141,1,28,0.016946077346801758
163.152.3.141,1,29,0.016897201538085938
163.152.3.141,2,30,0.013321876525878906
163.152.3.141,1,30,0.013331890106201172
163.152.3.141,2,31,0.014105796813964844
163.152.3.141,1,31,0.014708757400512695
163.152.3.141,2,32,0.014688491821289062
163.152.3.141,1,32,0.015359163284301758
163.152.3.141,2,33,0.016256332397460938
163.152.3.141,1,33,0.016276836395263672
163.152.3.141,2,34,0.01675558090209961
163.152.3.141,2,35,0.01670241355895996
163.152.3.141,1,35,0.017109394073486328
163.152.3.141,1,34,0.01737689971923828
163.152.3.141,2,36,0.01325368881225586
163.152.3.141,1,36,0.013952970504760742
163.152.3.141,1,37,0.013840913772583008
163.152.3.141,2,37,0.014634847640991211
163.152.3.141,1,38,0.014524698257446289
163.152.3.141,2,38,0.014944076538085938
163.152.3.141,2,39,0.014907360076904297
163.152.3.141,1,39,0.015312910079956055
163.152.3.141,2,40,0.015319585800170898
163.152.3.141,2,41,0.015200138092041016
163.152.3.141,1,41,0.015558242797851562
163.152.3.141,1,40,0.015839815139770508
163.152.3.141,2,42,0.012747526168823242
163.152.3.141,1,42,0.014516592025756836
163.152.3.141,2,43,0.01447606086730957
163.152.3.141,1,43,0.016003131866455078
163.152.3.141,2,44,0.016125202178955078
163.152.3.141,1,44,0.016318559646606445
163.152.3.141,2,45,0.016332626342773438
163.152.3.141,1,45,0.016580820083618164
163.152.3.141,2,46,0.017037630081176758
163.152.3.141,1,46,0.01722264289855957
163.152.3.141,1,47,0.017197847366333008
163.152.3.141,2,47,0.017530441284179688
163.152.3.141,2,48,0.015236139297485352
163.152.3.141,1,48,0.015228033065795898
163.152.3.141,2,49,0.016494274139404297
163.152.3.141,1,50,0.016271352767944336
163.152.3.141,1,49,0.01694774627685547
163.152.3.141,1,51,0.016623497009277344
163.152.3.141,2,50,0.016794919967651367
163.152.3.141,2,51,0.01706981658935547
163.152.3.141,1,52,0.018195152282714844
163.152.3.141,2,52,0.018163681030273438
163.152.3.141,1,53,0.019873380661010742
163.152.3.141,2,53,0.019883155822753906
163.152.3.141,1,54,0.013360023498535156
163.152.3.141,2,54,0.0136566162109375
163.152.3.141,1,55,0.013739347457885742
163.152.3.141,2,55,0.013723373413085938
163.152.3.141,1,56,0.01438140869140625
163.152.3.141,2,56,0.014363527297973633
163.152.3.141,2,57,0.014509201049804688
163.152.3.141,1,57,0.014867067337036133
163.152.3.141,1,58,0.014720439910888672
163.152.3.141,1,59,0.014836788177490234
163.152.3.141,2,59,0.014934539794921875
163.152.3.141,2,58,0.015187263488769531
163.152.3.141,1,60,0.014177560806274414
163.152.3.141,2,60,0.014319419860839844
163.152.3.141,2,61,0.014431238174438477
163.152.3.141,1,61,0.014846563339233398
163.152.3.141,2,62,0.015070199966430664
163.152.3.141,1,62,0.015173196792602539
163.152.3.141,1,63,0.015160560607910156
163.152.3.141,2,63,0.015481710433959961
163.152.3.141,2,64,0.01576972007751465
163.152.3.141,1,65,0.015753507614135742
163.152.3.141,1,64,0.016196489334106445
163.152.3.141,2,65,0.02247309684753418
163.152.3.141,2,66,0.013551712036132812
163.152.3.141,1,66,0.013729572296142578
163.152.3.141,1,67,0.013764381408691406
163.152.3.141,2,67,0.013865470886230469
163.152.3.141,2,68,0.013879060745239258
163.152.3.141,1,68,0.014391899108886719
163.152.3.141,1,69,0.014318704605102539
163.152.3.141,1,71,0.014167070388793945
163.152.3.141,2,69,0.01468515396118164
163.152.3.141,1,70,0.014828681945800781
163.152.3.141,2,70,0.014945745468139648
163.152.3.141,2,71,0.01492452621459961
163.152.3.141,2,72,0.014300823211669922
163.152.3.141,1,72,0.014488935470581055
163.152.3.141,1,73,0.014511585235595703
163.152.3.141,2,73,0.014584541320800781
163.152.3.141,1,74,0.014642000198364258
163.152.3.141,2,74,0.014725685119628906
163.152.3.141,1,75,0.015206575393676758
163.152.3.141,1,76,0.015260457992553711
163.152.3.141,2,75,0.015533208847045898
163.152.3.141,2,76,0.015566349029541016
163.152.3.141,1,77,0.016550064086914062
163.152.3.141,2,77,0.01675105094909668
163.152.3.141,1,78,0.0133819580078125
163.152.3.141,2,78,0.0136260986328125
163.152.3.141,1,79,0.013799905776977539
163.152.3.141,2,79,0.013968229293823242
163.152.3.141,2,80,0.014676570892333984
163.152.3.141,1,80,0.01506805419921875
163.152.3.141,1,81,0.015181541442871094
163.152.3.141,2,81,0.015333414077758789
163.152.3.141,1,82,0.015429019927978516
163.152.3.141,1,83,0.015525341033935547
163.152.3.141,2,82,0.015851259231567383
163.152.3.141,2,83,0.015878915786743164
163.152.3.141,1,84,0.013405323028564453
163.152.3.141,2,84,0.013620615005493164
163.152.3.141,1,85,0.014311790466308594
163.152.3.141,2,85,0.014437198638916016
163.152.3.141,1,86,0.01451563835144043
163.152.3.141,2,86,0.014614105224609375
163.152.3.141,2,87,0.014619588851928711
163.152.3.141,1,87,0.014767885208129883
163.152.3.141,2,88,0.014778375625610352
163.152.3.141,2,89,0.014729499816894531
163.152.3.141,1,88,0.015072345733642578
163.152.3.141,1,89,0.015051841735839844
163.152.3.141,2,90,0.014464139938354492
163.152.3.141,1,90,0.014554023742675781
163.152.3.141,2,91,0.014494180679321289
163.152.3.141,1,91,0.014829635620117188
163.152.3.141,1,92,0.014721155166625977
163.152.3.141,2,92,0.014830589294433594
163.152.3.141,1,93,0.014832735061645508
163.152.3.141,2,93,0.015137434005737305
163.152.3.141,2,94,0.015177488327026367
163.152.3.141,1,94,0.015646934509277344
163.152.3.141,2,95,0.015607118606567383
163.152.3.141,1,95,0.01873779296875
163.152.3.141,1,96,0.013031721115112305
163.152.3.141,2,96,0.01366734504699707
163.152.3.141,1,97,0.013812065124511719
163.152.3.141,1,98,0.01418161392211914
