Interface IP,Interface ID,Sequence Number,Latency
39.7.28.20,2,49,0.12572646141052246
39.7.28.20,1,48,0.12625980377197266
39.7.28.20,2,50,0.13428688049316406
39.7.28.20,1,49,0.13484907150268555
39.7.28.20,1,50,0.13500571250915527
39.7.28.20,1,51,0.13487696647644043
39.7.28.20,1,52,0.13482260704040527
39.7.28.20,2,51,0.13542914390563965
39.7.28.20,2,52,0.1355445384979248
39.7.28.20,2,53,0.1356370449066162
39.7.28.20,1,53,0.13572978973388672
39.7.28.20,2,54,0.12857365608215332
39.7.28.20,2,55,0.1286945343017578
39.7.28.20,1,54,0.1291651725769043
39.7.28.20,1,55,0.13245773315429688
39.7.28.20,1,56,0.13473033905029297
39.7.28.20,1,57,0.1348705291748047
39.7.28.20,1,58,0.13489365577697754
39.7.28.20,2,56,0.13572406768798828
39.7.28.20,2,57,0.13544154167175293
39.7.28.20,2,58,0.1354210376739502
39.7.28.20,1,59,0.13550567626953125
39.7.28.20,2,59,0.13561749458312988
39.7.28.20,2,60,0.10937380790710449
39.7.28.20,1,60,0.10982394218444824
39.7.28.20,1,61,0.11411476135253906
39.7.28.20,2,61,0.12442994117736816
39.7.28.20,1,62,0.12475204467773438
39.7.28.20,2,62,0.1291337013244629
39.7.28.20,2,63,0.12926483154296875
39.7.28.20,1,63,0.12963438034057617
39.7.28.20,1,64,0.1321275234222412
39.7.28.20,2,64,0.13257598876953125
39.7.28.20,1,65,0.13282108306884766
39.7.28.20,2,65,0.1331956386566162
39.7.28.20,2,66,0.10255908966064453
39.7.28.20,1,66,0.10374927520751953
39.7.28.20,2,67,0.10442757606506348
39.7.28.20,1,67,0.10491704940795898
39.7.28.20,1,68,0.1064002513885498
39.7.28.20,2,68,0.10702848434448242
39.7.28.20,2,69,0.11186480522155762
39.7.28.20,2,70,0.11571598052978516
39.7.28.20,1,69,0.11610054969787598
39.7.28.20,1,70,0.11709785461425781
39.7.28.20,2,71,0.11912655830383301
39.7.28.20,1,71,0.11932802200317383
39.7.28.20,2,72,0.1261448860168457
39.7.28.20,1,72,0.12683343887329102
39.7.28.20,2,73,0.12795686721801758
39.7.28.20,1,73,0.12813806533813477
39.7.28.20,2,74,0.12825965881347656
39.7.28.20,1,74,0.12918519973754883
39.7.28.20,1,75,0.12952828407287598
39.7.28.20,2,75,0.13025856018066406
39.7.28.20,1,76,0.13039278984069824
39.7.28.20,2,76,0.13120245933532715
39.7.28.20,1,77,0.13141107559204102
39.7.28.20,2,77,0.13347101211547852
39.7.28.20,1,78,0.10359072685241699
39.7.28.20,2,78,0.1046292781829834
39.7.28.20,1,79,0.10567259788513184
39.7.28.20,2,79,0.1061716079711914
39.7.28.20,2,80,0.10636138916015625
39.7.28.20,1,80,0.11259675025939941
39.7.28.20,2,81,0.11274576187133789
39.7.28.20,2,83,0.12223625183105469
39.7.28.20,1,83,0.12202858924865723
39.7.28.20,2,82,0.12328648567199707
39.7.28.20,1,81,0.12341809272766113
39.7.28.20,1,82,0.12377357482910156
39.7.28.20,2,84,0.1257944107055664
39.7.28.20,1,84,0.12609148025512695
39.7.28.20,2,85,0.12624645233154297
39.7.28.20,2,86,0.12797164916992188
39.7.28.20,1,85,0.1279315948486328
39.7.28.20,2,87,0.1285102367401123
39.7.28.20,1,86,0.12979459762573242
39.7.28.20,1,87,0.13012957572937012
39.7.28.20,1,88,0.12999677658081055
39.7.28.20,2,88,0.130873441696167
39.7.28.20,2,89,0.13251185417175293
39.7.28.20,1,89,0.1323714256286621
39.7.28.20,2,90,0.1031644344329834
39.7.28.20,2,91,0.10433626174926758
39.7.28.20,1,90,0.10461306571960449
39.7.28.20,2,92,0.10465526580810547
39.7.28.20,1,91,0.1048743724822998
39.7.28.20,1,92,0.11281061172485352
39.7.28.20,2,93,0.11282086372375488
39.7.28.20,1,93,0.11370730400085449
39.7.28.20,2,94,0.11361479759216309
39.7.28.20,1,94,0.11461186408996582
39.7.28.20,2,95,0.1269993782043457
39.7.28.20,1,95,0.12734508514404297
39.7.28.20,1,96,0.13432025909423828
39.7.28.20,1,97,0.13447952270507812
39.7.28.20,1,98,0.13448596000671387
39.7.28.20,1,99,0.13443374633789062
39.7.28.20,2,96,0.1352536678314209
39.7.28.20,2,97,0.13516902923583984
39.7.28.20,2,98,0.1350717544555664
39.7.28.20,2,99,0.13518953323364258
39.7.28.20,2,100,0.13522815704345703
39.7.28.20,1,100,0.13569426536560059
39.7.28.20,1,101,0.13562560081481934
39.7.28.20,2,101,0.13596510887145996
39.7.28.20,1,102,0.11199784278869629
39.7.28.20,2,102,0.11284518241882324
39.7.28.20,2,103,0.11300921440124512
39.7.28.20,2,104,0.1131744384765625
39.7.28.20,2,105,0.12461376190185547
39.7.28.20,1,103,0.12476110458374023
39.7.28.20,1,104,0.1250159740447998
39.7.28.20,1,105,0.13108325004577637
39.7.28.20,1,106,0.13111305236816406
39.7.28.20,2,106,0.13173961639404297
39.7.28.20,2,107,0.1316683292388916
39.7.28.20,1,107,0.1314997673034668
39.7.28.20,2,108,0.126145601272583
39.7.28.20,2,109,0.12674736976623535
39.7.28.20,1,108,0.12748122215270996
39.7.28.20,2,110,0.12760305404663086
39.7.28.20,1,109,0.12803173065185547
39.7.28.20,1,110,0.12807917594909668
39.7.28.20,1,111,0.12862825393676758
39.7.28.20,2,111,0.12906527519226074
39.7.28.20,2,112,0.12982654571533203
39.7.28.20,1,112,0.12978124618530273
39.7.28.20,2,113,0.1296234130859375
39.7.28.20,1,113,0.12999629974365234
39.7.28.20,2,114,0.10397601127624512
39.7.28.20,1,114,0.10446858406066895
39.7.28.20,1,115,0.10432863235473633
39.7.28.20,1,116,0.1050727367401123
39.7.28.20,2,115,0.11391329765319824
39.7.28.20,1,117,0.12035775184631348
39.7.28.20,2,116,0.12227582931518555
39.7.28.20,2,119,0.12305593490600586
39.7.28.20,2,117,0.12412309646606445
39.7.28.20,1,119,0.12407183647155762
39.7.28.20,1,118,0.125565767288208
39.7.28.20,2,118,0.125382661819458
39.7.28.20,2,120,0.12026000022888184
39.7.28.20,1,120,0.12059617042541504
39.7.28.20,1,121,0.12070822715759277
39.7.28.20,1,122,0.12839698791503906
39.7.28.20,1,123,0.12833738327026367
39.7.28.20,1,124,0.12808895111083984
39.7.28.20,2,121,0.12941193580627441
39.7.28.20,2,122,0.12930917739868164
39.7.28.20,2,123,0.1291797161102295
39.7.28.20,2,124,0.1291356086730957
