Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
39.7.28.20,1.0,48,0.1262598037719726,39.7.28.20,2.0,0.1011874675750732,0.0250723361968994
39.7.28.20,1.0,223,0.1231129169464111,39.7.28.20,2.0,0.1029081344604492,0.0202047824859619
39.7.28.20,1.0,270,0.1229643821716308,39.7.28.20,2.0,0.102820873260498,0.0201435089111328
39.7.28.20,1.0,330,0.1286025047302246,39.7.28.20,2.0,0.1008923053741455,0.027710199356079115
39.7.28.20,1.0,354,0.100276231765747,39.7.28.20,2.0,0.1266481876373291,0.0263719558715821
39.7.28.20,1.0,390,0.101151704788208,39.7.28.20,2.0,0.1267988681793213,0.025647163391113295
39.7.28.20,1.0,391,0.1010370254516601,39.7.28.20,2.0,0.1274139881134033,0.026376962661743192
39.7.28.20,1.0,397,0.1294400691986084,39.7.28.20,2.0,0.1026151180267334,0.026824951171875
39.7.28.20,1.0,635,0.1446690559387207,39.7.28.20,2.0,0.1207301616668701,0.0239388942718506
39.7.28.20,1.0,684,0.1552851200103759,39.7.28.20,2.0,0.1246528625488281,0.030632257461547796
39.7.28.20,1.0,774,0.1223008632659912,39.7.28.20,2.0,0.1473236083984375,0.025022745132446303
39.7.28.20,1.0,834,0.1329944133758545,39.7.28.20,2.0,0.1005606651306152,0.032433748245239286
39.7.28.20,1.0,864,0.122488260269165,39.7.28.20,2.0,0.0993618965148925,0.023126363754272503
39.7.28.20,1.0,918,0.1002991199493408,39.7.28.20,2.0,0.1362688541412353,0.03596973419189449
39.7.28.20,1.0,919,0.1020336151123046,39.7.28.20,2.0,0.1363534927368164,0.0343198776245118
39.7.28.20,1.0,920,0.1022677421569824,39.7.28.20,2.0,0.1365168094635009,0.0342490673065185
39.7.28.20,1.0,1236,0.126249074935913,39.7.28.20,2.0,0.1009752750396728,0.025273799896240207
39.7.28.20,1.0,1267,0.1045525074005127,39.7.28.20,2.0,0.1326720714569091,0.0281195640563964
39.7.28.20,1.0,1320,0.1001343727111816,39.7.28.20,2.0,0.1461539268493652,0.04601955413818361
39.7.28.20,1.0,1401,0.1043457984924316,39.7.28.20,2.0,0.1269886493682861,0.022642850875854506
39.7.28.20,1.0,1494,0.1292102336883545,39.7.28.20,2.0,0.1009981632232666,0.02821207046508789
39.7.28.20,1.0,1495,0.1316907405853271,39.7.28.20,2.0,0.1106090545654296,0.02108168601989749
39.7.28.20,1.0,1517,0.2550137042999267,39.7.28.20,2.0,0.1265985965728759,0.1284151077270508
39.7.28.20,1.0,1872,0.1221663951873779,39.7.28.20,2.0,0.1001744270324707,0.0219919681549072
39.7.28.20,1.0,1874,0.1225144863128662,39.7.28.20,2.0,0.1022486686706543,0.0202658176422119
39.7.28.20,1.0,1877,0.1237525939941406,39.7.28.20,2.0,0.1026911735534668,0.0210614204406738
39.7.28.20,1.0,1970,0.128364086151123,39.7.28.20,2.0,0.1038053035736084,0.024558782577514593
39.7.28.20,1.0,2185,0.1114866733551025,39.7.28.20,2.0,0.1392269134521484,0.027740240097045912
39.7.28.20,1.0,2373,0.1293356418609619,39.7.28.20,2.0,0.1030683517456054,0.026267290115356487
39.7.28.20,1.0,2382,0.1218001842498779,39.7.28.20,2.0,0.1014420986175537,0.020358085632324205
39.7.28.20,1.0,2388,0.1328420639038086,39.7.28.20,2.0,0.0996077060699462,0.03323435783386239
39.7.28.20,1.0,2478,0.1352579593658447,39.7.28.20,2.0,0.1018679141998291,0.0333900451660156
