Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,0,,39.7.231.138,2.0,0.0592143535614013
,,1,,39.7.231.138,2.0,0.0598716735839843
,,20466,,39.7.231.138,2.0,0.0547795295715332
,,20467,,39.7.231.138,2.0,0.0547246932983398
,,20468,,39.7.231.138,2.0,0.0547130107879638
,,20469,,39.7.231.138,2.0,0.0551581382751464
,,20470,,39.7.231.138,2.0,0.0551831722259521
,,33360,,39.7.231.138,2.0,0.0471410751342773
,,44619,,39.7.231.138,2.0,0.0875411033630371
,,48070,,39.7.231.138,2.0,0.1796700954437255
,,48077,,39.7.231.138,2.0,0.1466591358184814
