Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
39.7.231.138,1.0,81,0.035569429397583,39.7.231.138,2.0,0.055591344833374,0.020021915435791002
39.7.231.138,1.0,211,0.0341625213623046,39.7.231.138,2.0,0.0606353282928466,0.026472806930542006
39.7.231.138,1.0,234,0.0321478843688964,39.7.231.138,2.0,0.0608088970184326,0.028661012649536202
39.7.231.138,1.0,270,0.0327489376068115,39.7.231.138,2.0,0.0596938133239746,0.0269448757171631
39.7.231.138,1.0,451,0.0602340698242187,39.7.231.138,2.0,0.0336558818817138,0.026578187942504904
39.7.231.138,1.0,504,0.0571434497833251,39.7.231.138,2.0,0.035358190536499,0.021785259246826096
39.7.231.138,1.0,505,0.0569598674774169,39.7.231.138,2.0,0.0352418422698974,0.021718025207519503
39.7.231.138,1.0,510,0.0545222759246826,39.7.231.138,2.0,0.0319640636444091,0.0225582122802735
39.7.231.138,1.0,798,0.032116413116455,39.7.231.138,2.0,0.0533127784729003,0.0211963653564453
39.7.231.138,1.0,1116,0.054656982421875,39.7.231.138,2.0,0.032555341720581,0.022101640701294
39.7.231.138,1.0,1122,0.0598649978637695,39.7.231.138,2.0,0.0325143337249755,0.027350664138793994
39.7.231.138,1.0,1362,0.0583350658416748,39.7.231.138,2.0,0.03249192237854,0.0258431434631348
39.7.231.138,1.0,1464,0.03275728225708,39.7.231.138,2.0,0.0661244392395019,0.033367156982421896
39.7.231.138,1.0,1509,0.047720193862915,39.7.231.138,2.0,0.0800700187683105,0.03234982490539551
39.7.231.138,1.0,1633,0.0681624412536621,39.7.231.138,2.0,0.0327630043029785,0.035399436950683594
39.7.231.138,1.0,1848,0.0327675342559814,39.7.231.138,2.0,0.0653460025787353,0.0325784683227539
39.7.231.138,1.0,1896,0.0542290210723876,39.7.231.138,2.0,0.1730599403381347,0.11883091926574711
39.7.231.138,1.0,1897,0.0551795959472656,39.7.231.138,2.0,0.1729457378387451,0.11776614189147949
39.7.231.138,1.0,1898,0.0562553405761718,39.7.231.138,2.0,0.1728787422180175,0.1166234016418457
39.7.231.138,1.0,1899,0.0562131404876709,39.7.231.138,2.0,0.1744236946105957,0.1182105541229248
