163.152.161.52,0,51.516,2956
163.152.161.52,5,34.048,2125
163.152.161.52,6,33.502,1486
163.152.161.52,1,249.981,613
163.152.161.52,2,218.158,530
163.152.161.52,9,38.402,8135
163.152.161.52,3,242.131,337
163.152.161.52,10,44.704,4476
163.152.161.52,11,33.452,2425
163.152.161.52,4,286.611,318
163.152.161.52,7,201.155,574
163.152.161.52,12,41.47,4079
163.152.161.52,8,181.876,1446
163.152.161.52,13,89.758,28667
163.152.161.52,14,58.911,17987
163.152.161.52,15,53.794,9751
163.152.161.52,16,34.115,9643
163.152.161.52,17,31.827,14269
163.152.161.52,18,33.804,9176
163.152.161.52,19,33.884,8412
163.152.161.52,20,28.746,3323
163.152.161.52,21,27.419,7681
163.152.161.52,22,28.541,7402
163.152.161.52,23,28.63,3828
163.152.161.52,24,48.114,3898
163.152.161.52,25,36.524,6345
163.152.161.52,26,25.23,4045
163.152.161.52,27,27.699,6283
163.152.161.52,28,28.252,5842
163.152.161.52,29,27.713,4414
163.152.161.52,30,32.012,5722
163.152.161.52,31,27.975,6068
163.152.161.52,32,34.307,5682
163.152.161.52,33,26.731,4084
163.152.161.52,34,30.007,4192
163.152.161.52,35,36.009,5438
163.152.161.52,36,37.1,7198
163.152.161.52,37,27.272,5570
163.152.161.52,38,30.92,4167
163.152.161.52,39,28.741,5182
163.152.161.52,40,26.473,5001
163.152.161.52,41,28.205,3355
163.152.161.52,42,26.744,4140
163.152.161.52,43,28.084,4819
163.152.161.52,44,26.303,3832
163.152.161.52,45,26.709,2297
163.152.161.52,46,28.27,3035
163.152.161.52,47,28.672,9967
163.152.161.52,48,30.092,5959
163.152.161.52,49,27.936,3750
163.152.161.52,50,29.667,3691
163.152.161.52,51,28.208,8476
163.152.161.52,52,31.115,4995
163.152.161.52,53,25.716,2919
163.152.161.52,54,27.057,3216
163.152.161.52,55,28.209,12242
163.152.161.52,56,28.499,5478
163.152.161.52,57,25.741,2930
163.152.161.52,58,28.987,2712
163.152.161.52,59,30.733,8328
163.152.161.52,60,27.383,4696
163.152.161.52,61,28.317,2200
163.152.161.52,62,30.381,4152
163.152.161.52,63,30.09,3846
