Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
211.234.180.204,1.0,1,0.0347037315368652,,,
211.234.180.204,1.0,260,0.1743121147155761,,,
211.234.180.204,1.0,261,0.1743662357330322,,,
211.234.180.204,1.0,262,0.1744589805603027,,,
211.234.180.204,1.0,264,0.1488623619079589,,,
211.234.180.204,1.0,265,0.1521108150482177,,,
211.234.180.204,1.0,266,0.1678862571716308,,,
211.234.180.204,1.0,267,0.1680245399475097,,,
211.234.180.204,1.0,268,0.1681568622589111,,,
211.234.180.204,1.0,270,0.1348094940185547,,,
211.234.180.204,1.0,271,0.134897232055664,,,
211.234.180.204,1.0,300,0.0740067958831787,,,
211.234.180.204,1.0,301,0.0738344192504882,,,
211.234.180.204,1.0,302,0.0742030143737793,,,
211.234.180.204,1.0,303,0.0739436149597168,,,
211.234.180.204,1.0,304,0.0742933750152587,,,
211.234.180.204,1.0,315,0.1316304206848144,,,
211.234.180.204,1.0,316,0.1315517425537109,,,
211.234.180.204,1.0,318,0.0984420776367187,,,
211.234.180.204,1.0,319,0.0983946323394775,,,
211.234.180.204,1.0,320,0.0983688831329345,,,
211.234.180.204,1.0,321,0.0988917350769043,,,
211.234.180.204,1.0,373,0.1001207828521728,,,
211.234.180.204,1.0,374,0.1004455089569091,,,
211.234.180.204,1.0,375,0.1004595756530761,,,
211.234.180.204,1.0,376,0.1003036499023437,,,
211.234.180.204,1.0,420,0.1194126605987548,,,
211.234.180.204,1.0,421,0.119387149810791,,,
211.234.180.204,1.0,422,0.1194729804992675,,,
211.234.180.204,1.0,423,0.1195363998413086,,,
211.234.180.204,1.0,424,0.1196181774139404,,,
211.234.180.204,1.0,426,0.0861368179321289,,,
211.234.180.204,1.0,427,0.0860350131988525,,,
211.234.180.204,1.0,428,0.0877940654754638,,,
211.234.180.204,1.0,429,0.0882294178009033,,,
211.234.180.204,1.0,430,0.0881383419036865,,,
211.234.180.204,1.0,432,0.0544037818908691,,,
211.234.180.204,1.0,454,0.1444418430328369,,,
211.234.180.204,1.0,456,0.1220629215240478,,,
211.234.180.204,1.0,457,0.1220941543579101,,,
211.234.180.204,1.0,458,0.1221923828125,,,
211.234.180.204,1.0,459,0.1223227977752685,,,
211.234.180.204,1.0,489,0.0403759479522705,,,
211.234.180.204,1.0,506,0.118762731552124,,,
211.234.180.204,1.0,507,0.1193125247955322,,,
211.234.180.204,1.0,508,0.1193592548370361,,,
211.234.180.204,1.0,510,0.0859131813049316,,,
211.234.180.204,1.0,511,0.0860431194305419,,,
211.234.180.204,1.0,512,0.085533857345581,,,
211.234.180.204,1.0,513,0.0859425067901611,,,
211.234.180.204,1.0,514,0.0859558582305908,,,
211.234.180.204,1.0,516,0.0524818897247314,,,
211.234.180.204,1.0,844,0.0372114181518554,,,
211.234.180.204,1.0,964,0.0363829135894775,,,
211.234.180.204,1.0,1294,0.0357196331024169,,,
211.234.180.204,1.0,1318,0.0375447273254394,,,
211.234.180.204,1.0,1324,0.0384807586669921,,,
211.234.180.204,1.0,1341,0.0348415374755859,,,
211.234.180.204,1.0,1348,0.034977912902832,,,
211.234.180.204,1.0,1354,0.0362570285797119,,,
211.234.180.204,1.0,1449,0.0401153564453125,,,
211.234.180.204,1.0,1534,0.0369625091552734,,,
211.234.180.204,1.0,1995,0.0351641178131103,,,
211.234.180.204,1.0,2008,0.0366201400756835,,,
211.234.180.204,1.0,2014,0.0419466495513916,,,
211.234.180.204,1.0,2206,0.0349488258361816,,,
211.234.180.204,1.0,2542,0.0329740047454834,,,
211.234.180.204,1.0,2680,0.0369713306427001,,,
211.234.180.204,1.0,2728,0.036684513092041,,,
211.234.180.204,1.0,2734,0.038097858428955,,,
211.234.180.204,1.0,2928,0.1057856082916259,,,
211.234.180.204,1.0,2929,0.1055960655212402,,,
211.234.180.204,1.0,2930,0.1059720516204834,,,
211.234.180.204,1.0,2931,0.1058988571166992,,,
211.234.180.204,1.0,2932,0.1063323020935058,,,
211.234.180.204,1.0,2934,0.072725772857666,,,
211.234.180.204,1.0,2935,0.0724914073944091,,,
211.234.180.204,1.0,2936,0.0728263854980468,,,
211.234.180.204,1.0,2937,0.0739834308624267,,,
211.234.180.204,1.0,2938,0.0739705562591552,,,
211.234.180.204,1.0,2960,0.1487329006195068,,,
211.234.180.204,1.0,2961,0.1489865779876709,,,
211.234.180.204,1.0,2962,0.1491518020629882,,,
211.234.180.204,1.0,2964,0.1189217567443847,,,
211.234.180.204,1.0,2965,0.1197285652160644,,,
211.234.180.204,1.0,2966,0.1201329231262207,,,
211.234.180.204,1.0,2967,0.1235659122467041,,,
211.234.180.204,1.0,3024,0.1695938110351562,,,
211.234.180.204,1.0,3025,0.1698453426361084,,,
211.234.180.204,1.0,3026,0.1698091030120849,,,
211.234.180.204,1.0,3027,0.1702291965484619,,,
211.234.180.204,1.0,3096,0.1501133441925048,,,
211.234.180.204,1.0,3097,0.1499927043914795,,,
211.234.180.204,1.0,3098,0.149982213973999,,,
211.234.180.204,1.0,3099,0.1504828929901123,,,
211.234.180.204,1.0,3100,0.1510250568389892,,,
211.234.180.204,1.0,3102,0.1175673007965087,,,
211.234.180.204,1.0,3103,0.1174437999725341,,,
211.234.180.204,1.0,3104,0.1177382469177246,,,
211.234.180.204,1.0,3105,0.1177027225494384,,,
211.234.180.204,1.0,3106,0.1182150840759277,,,
211.234.180.204,1.0,3118,0.0540552139282226,,,
211.234.180.204,1.0,3132,0.0934317111968994,,,
211.234.180.204,1.0,3133,0.093193769454956,,,
211.234.180.204,1.0,3134,0.0932252407073974,,,
211.234.180.204,1.0,3135,0.0929889678955078,,,
211.234.180.204,1.0,3136,0.0927612781524658,,,
211.234.180.204,1.0,3150,0.1320595741271972,,,
211.234.180.204,1.0,3151,0.1321315765380859,,,
211.234.180.204,1.0,3152,0.1322381496429443,,,
211.234.180.204,1.0,3153,0.1322903633117675,,,
211.234.180.204,1.0,3154,0.1322553157806396,,,
211.234.180.204,1.0,3156,0.0986356735229492,,,
211.234.180.204,1.0,3157,0.0986764430999755,,,
211.234.180.204,1.0,3158,0.0985896587371826,,,
211.234.180.204,1.0,3159,0.0986690521240234,,,
211.234.180.204,1.0,3160,0.0988264083862304,,,
211.234.180.204,1.0,3180,0.1203422546386718,,,
211.234.180.204,1.0,3181,0.120356798171997,,,
211.234.180.204,1.0,3182,0.1204433441162109,,,
211.234.180.204,1.0,3183,0.1205928325653076,,,
211.234.180.204,1.0,3184,0.1207554340362548,,,
211.234.180.204,1.0,3186,0.0872449874877929,,,
211.234.180.204,1.0,3187,0.0872268676757812,,,
211.234.180.204,1.0,3200,0.1646459102630615,,,
211.234.180.204,1.0,3201,0.1648049354553222,,,
211.234.180.204,1.0,3202,0.1668977737426757,,,
211.234.180.204,1.0,3204,0.13336181640625,,,
211.234.180.204,1.0,3205,0.1332957744598388,,,
211.234.180.204,1.0,3206,0.1333613395690918,,,
211.234.180.204,1.0,3207,0.1334395408630371,,,
211.234.180.204,1.0,3212,0.0985043048858642,,,
211.234.180.204,1.0,3213,0.0985615253448486,,,
211.234.180.204,1.0,3214,0.0986151695251464,,,
211.234.180.204,1.0,3216,0.0651493072509765,,,
211.234.180.204,1.0,3217,0.0668714046478271,,,
211.234.180.204,1.0,3218,0.0670673847198486,,,
211.234.180.204,1.0,3219,0.0672278404235839,,,
211.234.180.204,1.0,3220,0.0674293041229248,,,
211.234.180.204,1.0,3387,0.0376603603363037,,,
211.234.180.204,1.0,3393,0.0438151359558105,,,
211.234.180.204,1.0,3544,0.0471866130828857,,,
211.234.180.204,1.0,3604,0.0336599349975585,,,
211.234.180.204,1.0,3622,0.0329310894012451,,,
211.234.180.204,1.0,3813,0.031398057937622,,,
211.234.180.204,1.0,3934,0.0353498458862304,,,
211.234.180.204,1.0,4047,0.0347495079040527,,,
211.234.180.204,1.0,4048,0.0348665714263916,,,
211.234.180.204,1.0,4468,0.0395700931549072,,,
211.234.180.204,1.0,4522,0.0367655754089355,,,
211.234.180.204,1.0,4528,0.0365278720855712,,,
211.234.180.204,1.0,4534,0.0375776290893554,,,
211.234.180.204,1.0,4546,0.0378570556640625,,,
211.234.180.204,1.0,4630,0.0377960205078125,,,
211.234.180.204,1.0,4642,0.03448486328125,,,
211.234.180.204,1.0,4660,0.0460190773010253,,,
211.234.180.204,1.0,4683,0.0376036167144775,,,
211.234.180.204,1.0,4834,0.0385854244232177,,,
211.234.180.204,1.0,5188,0.0322227478027343,,,
211.234.180.204,1.0,5504,0.0841600894927978,,,
211.234.180.204,1.0,5505,0.0843195915222168,,,
211.234.180.204,1.0,5506,0.0844786167144775,,,
211.234.180.204,1.0,5517,0.0441064834594726,,,
211.234.180.204,1.0,5586,0.1568527221679687,,,
211.234.180.204,1.0,5587,0.1569235324859619,,,
211.234.180.204,1.0,5588,0.1569740772247314,,,
211.234.180.204,1.0,5589,0.1570639610290527,,,
211.234.180.204,1.0,5590,0.1572029590606689,,,
211.234.180.204,1.0,5592,0.1236755847930908,,,
211.234.180.204,1.0,5593,0.1237361431121826,,,
211.234.180.204,1.0,5598,0.0904464721679687,,,
211.234.180.204,1.0,5599,0.0902526378631591,,,
211.234.180.204,1.0,5600,0.0906591415405273,,,
211.234.180.204,1.0,5601,0.0906219482421875,,,
211.234.180.204,1.0,5602,0.091191291809082,,,
211.234.180.204,1.0,5604,0.0576560497283935,,,
211.234.180.204,1.0,5605,0.0586237907409668,,,
211.234.180.204,1.0,5613,0.1628463268280029,,,
211.234.180.204,1.0,5614,0.1633226871490478,,,
211.234.180.204,1.0,5616,0.1397578716278076,,,
211.234.180.204,1.0,5617,0.1398689746856689,,,
211.234.180.204,1.0,5618,0.1399707794189453,,,
211.234.180.204,1.0,5619,0.1400642395019531,,,
211.234.180.204,1.0,5620,0.140613317489624,,,
211.234.180.204,1.0,5622,0.1150457859039306,,,
211.234.180.204,1.0,5623,0.1151261329650878,,,
211.234.180.204,1.0,5624,0.1155335903167724,,,
211.234.180.204,1.0,5644,0.14642333984375,,,
211.234.180.204,1.0,5646,0.1129426956176757,,,
211.234.180.204,1.0,5647,0.1130681037902832,,,
211.234.180.204,1.0,5648,0.1146731376647949,,,
211.234.180.204,1.0,5649,0.1197316646575927,,,
211.234.180.204,1.0,5650,0.1198508739471435,,,
211.234.180.204,1.0,5748,0.1384437084197998,,,
211.234.180.204,1.0,5749,0.1386630535125732,,,
211.234.180.204,1.0,5750,0.1389050483703613,,,
211.234.180.204,1.0,5755,0.1058809757232666,,,
211.234.180.204,1.0,5756,0.1058962345123291,,,
211.234.180.204,1.0,5757,0.1061506271362304,,,
211.234.180.204,1.0,5758,0.1061792373657226,,,
211.234.180.204,1.0,5760,0.073150634765625,,,
211.234.180.204,1.0,5761,0.0728249549865722,,,
211.234.180.204,1.0,5762,0.0727984905242919,,,
211.234.180.204,1.0,5802,0.1446912288665771,,,
211.234.180.204,1.0,5803,0.1448149681091308,,,
211.234.180.204,1.0,5804,0.1449880599975586,,,
211.234.180.204,1.0,5805,0.1451811790466308,,,
211.234.180.204,1.0,5806,0.1453828811645507,,,
211.234.180.204,1.0,5808,0.1119449138641357,,,
211.234.180.204,1.0,5809,0.1120970249176025,,,
211.234.180.204,1.0,5810,0.1122124195098877,,,
211.234.180.204,1.0,5811,0.1122548580169677,,,
211.234.180.204,1.0,6991,0.0992963314056396,,,
211.234.180.204,1.0,7732,0.0449054241180419,,,
211.234.180.204,1.0,7998,0.0355291366577148,,,
