Interface IP,Interface ID,Sequence Number,Latency
118.235.3.24,2,11,0.0500380992889404
118.235.3.24,2,42,0.0543913841247558
118.235.3.24,2,43,0.0544495582580566
118.235.3.24,2,44,0.0546560287475585
118.235.3.24,2,45,0.0546333789825439
118.235.3.24,2,47,0.054408311843872
118.235.3.24,2,46,0.0548319816589355
118.235.3.24,2,126,0.0552449226379394
118.235.3.24,2,127,0.0551099777221679
118.235.3.24,2,128,0.0550189018249511
118.235.3.24,2,129,0.0550501346588134
118.235.3.24,2,130,0.0547823905944824
118.235.3.24,2,131,0.0547764301300048
118.235.3.24,2,174,0.05352783203125
118.235.3.24,2,175,0.053359031677246
118.235.3.24,2,176,0.0535273551940918
118.235.3.24,2,177,0.0534696578979492
118.235.3.24,2,178,0.0533912181854248
118.235.3.24,2,179,0.0536177158355712
118.235.3.24,2,191,0.0537619590759277
118.235.3.24,2,186,0.0545606613159179
118.235.3.24,2,187,0.0547239780426025
118.235.3.24,2,188,0.0548865795135498
118.235.3.24,2,189,0.0550558567047119
118.235.3.24,2,190,0.0552213191986084
118.235.3.24,2,245,0.0522570610046386
118.235.3.24,2,241,0.0534465312957763
118.235.3.24,2,242,0.0530650615692138
118.235.3.24,2,243,0.0532279014587402
118.235.3.24,2,244,0.0531530380249023
118.235.3.24,2,275,0.0557780265808105
118.235.3.24,2,271,0.0567240715026855
118.235.3.24,2,272,0.057042121887207
118.235.3.24,2,273,0.0568695068359375
118.235.3.24,2,274,0.0567104816436767
118.235.3.24,2,299,0.0565640926361084
118.235.3.24,2,295,0.0573854446411132
118.235.3.24,2,296,0.0577836036682128
118.235.3.24,2,297,0.0576744079589843
118.235.3.24,2,298,0.0574710369110107
118.235.3.24,2,317,0.0519309043884277
118.235.3.24,2,312,0.0532193183898925
118.235.3.24,2,313,0.0534365177154541
118.235.3.24,2,314,0.0533356666564941
118.235.3.24,2,315,0.0536718368530273
118.235.3.24,2,316,0.0535230636596679
118.235.3.24,2,329,0.051520824432373
118.235.3.24,2,324,0.0533874034881591
118.235.3.24,2,325,0.0531435012817382
118.235.3.24,2,326,0.0530507564544677
118.235.3.24,2,327,0.0526361465454101
118.235.3.24,2,328,0.0528631210327148
118.235.3.24,2,332,0.0500087738037109
118.235.3.24,2,333,0.0500648021697998
118.235.3.24,2,334,0.0501079559326171
118.235.3.24,2,336,0.0534911155700683
118.235.3.24,2,337,0.0534391403198242
118.235.3.24,2,338,0.0537919998168945
118.235.3.24,2,339,0.0538315773010253
118.235.3.24,2,340,0.0537433624267578
118.235.3.24,2,341,0.053917646408081
118.235.3.24,2,389,0.0527205467224121
118.235.3.24,2,384,0.0540933609008789
118.235.3.24,2,385,0.0542385578155517
118.235.3.24,2,386,0.0542173385620117
118.235.3.24,2,387,0.0541660785675048
118.235.3.24,2,388,0.0540864467620849
118.235.3.24,2,414,0.0579578876495361
118.235.3.24,2,415,0.0578703880310058
118.235.3.24,2,416,0.0578184127807617
118.235.3.24,2,417,0.0575945377349853
118.235.3.24,2,418,0.0575411319732666
118.235.3.24,2,419,0.0576388835906982
118.235.3.24,2,545,0.052952766418457
118.235.3.24,2,540,0.0547671318054199
118.235.3.24,2,541,0.0545814037322998
118.235.3.24,2,542,0.0544245243072509
118.235.3.24,2,543,0.0543498992919921
118.235.3.24,2,544,0.0543482303619384
118.235.3.24,2,557,0.0528416633605957
118.235.3.24,2,552,0.0547869205474853
118.235.3.24,2,553,0.0547029972076416
118.235.3.24,2,554,0.0544779300689697
118.235.3.24,2,555,0.0542879104614257
118.235.3.24,2,556,0.0542333126068115
118.235.3.24,2,617,0.0532171726226806
118.235.3.24,2,612,0.0547571182250976
118.235.3.24,2,613,0.0544679164886474
118.235.3.24,2,614,0.0546555519104003
118.235.3.24,2,615,0.0544111728668212
118.235.3.24,2,616,0.0545821189880371
118.235.3.24,2,690,0.0531210899353027
118.235.3.24,2,691,0.0532236099243164
118.235.3.24,2,692,0.0534327030181884
118.235.3.24,2,695,0.0528733730316162
118.235.3.24,2,693,0.0536651611328125
118.235.3.24,2,694,0.0535669326782226
118.235.3.24,2,701,0.0564227104187011
118.235.3.24,2,697,0.0577683448791503
118.235.3.24,2,698,0.0578603744506835
118.235.3.24,2,699,0.0577654838562011
118.235.3.24,2,700,0.0577330589294433
118.235.3.24,2,707,0.0519080162048339
118.235.3.24,2,702,0.05291748046875
118.235.3.24,2,703,0.0527703762054443
118.235.3.24,2,704,0.0528326034545898
118.235.3.24,2,705,0.0528836250305175
118.235.3.24,2,706,0.0533430576324462
118.235.3.24,2,731,0.0538926124572753
118.235.3.24,2,726,0.05515718460083
118.235.3.24,2,727,0.0552129745483398
118.235.3.24,2,728,0.0551626682281494
118.235.3.24,2,729,0.05507493019104
118.235.3.24,2,730,0.0553622245788574
118.235.3.24,2,738,0.0546433925628662
118.235.3.24,2,739,0.0545353889465332
118.235.3.24,2,740,0.0545175075531005
118.235.3.24,2,741,0.0544545650482177
118.235.3.24,2,742,0.0545294284820556
118.235.3.24,2,743,0.054638385772705
118.235.3.24,2,755,0.0540087223052978
118.235.3.24,2,750,0.0553004741668701
118.235.3.24,2,751,0.0553841590881347
118.235.3.24,2,752,0.0556468963623046
118.235.3.24,2,753,0.055753469467163
118.235.3.24,2,754,0.0557420253753662
118.235.3.24,2,756,0.0506393909454345
118.235.3.24,2,757,0.0507411956787109
118.235.3.24,2,758,0.050868272781372
118.235.3.24,2,759,0.0509946346282959
118.235.3.24,2,760,0.0511071681976318
118.235.3.24,2,767,0.0551187992095947
118.235.3.24,2,762,0.0561182498931884
118.235.3.24,2,763,0.0562045574188232
118.235.3.24,2,764,0.0563299655914306
118.235.3.24,2,765,0.0564265251159668
118.235.3.24,2,766,0.056436538696289
118.235.3.24,2,887,0.0556564331054687
118.235.3.24,2,882,0.0574190616607666
118.235.3.24,2,883,0.0575990676879882
118.235.3.24,2,884,0.0574235916137695
118.235.3.24,2,885,0.0576155185699462
118.235.3.24,2,886,0.0573065280914306
118.235.3.24,2,893,0.0503327846527099
118.235.3.24,2,888,0.0513834953308105
118.235.3.24,2,889,0.0515718460083007
118.235.3.24,2,890,0.0516784191131591
118.235.3.24,2,891,0.0517923831939697
118.235.3.24,2,892,0.0518169403076171
118.235.3.24,2,917,0.0603308677673339
118.235.3.24,2,913,0.06158447265625
118.235.3.24,2,914,0.0615301132202148
118.235.3.24,2,915,0.0615489482879638
118.235.3.24,2,916,0.0617611408233642
118.235.3.24,2,935,0.0549666881561279
118.235.3.24,2,930,0.0566966533660888
118.235.3.24,2,931,0.0566256046295166
118.235.3.24,2,932,0.0559618473052978
118.235.3.24,2,933,0.055964708328247
118.235.3.24,2,934,0.0563468933105468
118.235.3.24,2,947,0.0561773777008056
118.235.3.24,2,943,0.0569560527801513
118.235.3.24,2,944,0.056814432144165
118.235.3.24,2,945,0.0569353103637695
118.235.3.24,2,946,0.0569105148315429
118.235.3.24,2,953,0.0510571002960205
118.235.3.24,2,948,0.0528671741485595
118.235.3.24,2,949,0.0529024600982666
118.235.3.24,2,950,0.0527739524841308
118.235.3.24,2,951,0.0528066158294677
118.235.3.24,2,952,0.052800178527832
118.235.3.24,2,1049,0.0510604381561279
118.235.3.24,2,1044,0.0530662536621093
118.235.3.24,2,1045,0.0531392097473144
118.235.3.24,2,1046,0.0529735088348388
118.235.3.24,2,1047,0.0526158809661865
118.235.3.24,2,1048,0.0523872375488281
118.235.3.24,2,1073,0.0515551567077636
118.235.3.24,2,1068,0.0531935691833496
118.235.3.24,2,1069,0.0529248714447021
118.235.3.24,2,1070,0.0529084205627441
118.235.3.24,2,1071,0.0528585910797119
118.235.3.24,2,1072,0.0529854297637939
118.235.3.24,2,1115,0.056452989578247
118.235.3.24,2,1111,0.0575337409973144
118.235.3.24,2,1112,0.0572385787963867
118.235.3.24,2,1113,0.0574824810028076
118.235.3.24,2,1114,0.0572855472564697
118.235.3.24,2,1121,0.0513267517089843
118.235.3.24,2,1116,0.0527009963989257
118.235.3.24,2,1117,0.0528290271759033
118.235.3.24,2,1118,0.0525131225585937
118.235.3.24,2,1119,0.052316665649414
118.235.3.24,2,1120,0.0527610778808593
118.235.3.24,2,1127,0.0567145347595214
