Interface IP,Interface ID,Sequence Number,Latency
39.7.28.131,1,69,0.09585833549499512
39.7.28.131,1,70,0.09584879875183105
39.7.28.131,2,76,0.0639030933380127
39.7.28.131,1,72,0.06412982940673828
39.7.28.131,1,73,0.06433677673339844
39.7.28.131,1,74,0.06471610069274902
39.7.28.131,1,75,0.0646812915802002
39.7.28.131,1,76,0.06562685966491699
39.7.28.131,2,78,0.06833767890930176
39.7.28.131,2,79,0.06845307350158691
39.7.28.131,2,80,0.06847405433654785
39.7.28.131,1,78,0.06888198852539062
39.7.28.131,1,79,0.06861591339111328
39.7.28.131,2,81,0.06870579719543457
39.7.28.131,1,80,0.06874823570251465
39.7.28.131,1,81,0.06898307800292969
39.7.28.131,2,82,0.06939196586608887
39.7.28.131,2,83,0.06943225860595703
39.7.28.131,1,82,0.06953048706054688
39.7.28.131,1,83,0.07843828201293945
39.7.28.131,1,84,0.04522061347961426
39.7.28.131,1,85,0.04480719566345215
39.7.28.131,2,89,0.044965267181396484
39.7.28.131,1,89,0.04497838020324707
39.7.28.131,2,84,0.046918630599975586
39.7.28.131,2,85,0.04683089256286621
39.7.28.131,2,86,0.046891212463378906
39.7.28.131,2,87,0.04688620567321777
39.7.28.131,2,88,0.04683637619018555
39.7.28.131,1,86,0.04717850685119629
39.7.28.131,1,87,0.04705095291137695
39.7.28.131,1,88,0.04703974723815918
39.7.28.131,1,90,0.0566861629486084
39.7.28.131,2,90,0.05714869499206543
39.7.28.131,2,91,0.057144880294799805
39.7.28.131,1,91,0.05742454528808594
39.7.28.131,1,92,0.058364152908325195
39.7.28.131,2,92,0.058595895767211914
39.7.28.131,1,93,0.058887481689453125
39.7.28.131,2,93,0.05912661552429199
39.7.28.131,2,94,0.060048818588256836
39.7.28.131,2,95,0.06025242805480957
39.7.28.131,1,94,0.060770511627197266
39.7.28.131,1,96,0.027071237564086914
39.7.28.131,1,95,0.061049461364746094
39.7.28.131,1,97,0.027447938919067383
39.7.28.131,2,96,0.027820110321044922
39.7.28.131,2,101,0.027970552444458008
39.7.28.131,1,101,0.02820897102355957
39.7.28.131,2,97,0.028655052185058594
39.7.28.131,1,98,0.030097246170043945
39.7.28.131,2,98,0.03047657012939453
39.7.28.131,1,99,0.030698299407958984
39.7.28.131,1,100,0.030946016311645508
39.7.28.131,2,99,0.03130340576171875
39.7.28.131,2,100,0.03143906593322754
39.7.28.131,2,102,0.0006504058837890625
39.7.28.131,1,102,0.004651546478271484
39.7.28.131,2,103,0.005228996276855469
39.7.28.131,2,104,0.005434989929199219
39.7.28.131,2,105,0.005595207214355469
39.7.28.131,2,106,0.0057413578033447266
39.7.28.131,1,103,0.005789518356323242
39.7.28.131,1,104,0.005959510803222656
39.7.28.131,2,107,0.006490230560302734
39.7.28.131,1,105,0.006873130798339844
39.7.28.131,1,107,0.0129241943359375
39.7.28.131,1,106,0.01326894760131836
39.7.28.131,1,108,0.024320363998413086
39.7.28.131,1,109,0.02452850341796875
39.7.28.131,1,113,0.024651288986206055
39.7.28.131,1,110,0.024938583374023438
39.7.28.131,1,111,0.025105953216552734
39.7.28.131,2,113,0.02617931365966797
39.7.28.131,1,112,0.02667975425720215
39.7.28.131,2,108,0.0270082950592041
39.7.28.131,2,109,0.027313947677612305
39.7.28.131,2,110,0.027514219284057617
39.7.28.131,2,111,0.027692317962646484
39.7.28.131,2,112,0.028134584426879883
39.7.28.131,1,114,0.03026866912841797
39.7.28.131,2,114,0.030755281448364258
39.7.28.131,1,115,0.03082108497619629
39.7.28.131,2,115,0.03191256523132324
39.7.28.131,2,116,0.032480716705322266
39.7.28.131,1,116,0.03294634819030762
39.7.28.131,1,117,0.03280520439147949
39.7.28.131,2,117,0.03384733200073242
39.7.28.131,2,119,0.034427642822265625
