Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
163.152.161.52,1.0,0,0.0661773681640625,163.152.3.133,2.0,0.0433871746063232,0.0227901935577393
163.152.161.52,1.0,1,0.1511557102203369,163.152.3.133,2.0,0.04339599609375,0.10775971412658689
163.152.161.52,1.0,2,0.1749749183654785,163.152.3.133,2.0,0.0436139106750488,0.1313610076904297
163.152.161.52,1.0,3,0.1900248527526855,163.152.3.133,2.0,0.0425398349761962,0.14748501777648929
163.152.161.52,1.0,4,0.2039535045623779,163.152.3.133,2.0,0.0431716442108154,0.1607818603515625
163.152.161.52,1.0,5,0.2080655097961425,163.152.3.133,2.0,0.0424020290374755,0.165663480758667
163.152.161.52,1.0,6,0.1881930828094482,163.152.3.133,2.0,0.042130708694458,0.14606237411499018
163.152.161.52,1.0,7,0.1987748146057129,163.152.3.133,2.0,0.0417943000793457,0.1569805145263672
163.152.161.52,1.0,8,0.2086846828460693,163.152.3.133,2.0,0.0423929691314697,0.1662917137145996
163.152.161.52,1.0,9,0.2102210521697998,163.152.3.133,2.0,0.0426044464111328,0.167616605758667
163.152.161.52,1.0,10,0.2116785049438476,163.152.3.133,2.0,0.04180908203125,0.1698694229125976
163.152.161.52,1.0,11,0.2125108242034912,163.152.3.133,2.0,0.0422348976135253,0.1702759265899659
163.152.161.52,1.0,12,0.1826589107513427,163.152.3.133,2.0,0.0434753894805908,0.1391835212707519
163.152.161.52,1.0,13,0.1970407962799072,163.152.3.133,2.0,0.0438363552093505,0.1532044410705567
163.152.161.52,1.0,14,0.2023706436157226,163.152.3.133,2.0,0.0430774688720703,0.1592931747436523
163.152.161.52,1.0,15,0.2040393352508545,163.152.3.133,2.0,0.0424165725708007,0.1616227626800538
163.152.161.52,1.0,16,0.2058658599853515,163.152.3.133,2.0,0.0422768592834472,0.1635890007019043
163.152.161.52,1.0,17,0.2065842151641845,163.152.3.133,2.0,0.0418779850006103,0.1647062301635742
163.152.161.52,1.0,18,0.1751868724822998,163.152.3.133,2.0,0.0421338081359863,0.1330530643463135
163.152.161.52,1.0,19,0.1774091720581054,163.152.3.133,2.0,0.0422620773315429,0.1351470947265625
163.152.161.52,1.0,20,0.1792130470275879,163.152.3.133,2.0,0.0422360897064209,0.136976957321167
163.152.161.52,1.0,21,0.1823258399963379,163.152.3.133,2.0,0.0422139167785644,0.1401119232177735
163.152.161.52,1.0,22,0.1831762790679931,163.152.3.133,2.0,0.0421922206878662,0.1409840583801269
