106.101.128.74,0,205.693,lg,1725856571954765,14714
106.101.128.74,2,138.828,lg,1725856571955144,680
106.101.128.74,1,172.494,lg,1725856571955181,2994
106.101.128.74,3,107.386,lg,1725856571957225,12704
106.101.128.74,5,50.979,lg,1725856571968101,6587
106.101.128.74,6,115.12,lg,1725856572065727,767
106.101.128.74,7,88.279,lg,1725856572072591,9044
106.101.128.74,8,55.901,lg,1725856572073765,1258
106.101.128.74,9,73.876,lg,1725856572125321,10387
106.101.128.74,10,76.322,lg,1725856572161363,18969
106.101.128.74,11,45.352,lg,1725856572164008,9295
106.101.128.74,12,118.62,lg,1725856572270862,1433
106.101.128.74,13,91.177,lg,1725856572277095,8827
106.101.128.74,14,58.178,lg,1725856572277657,2205
106.101.128.74,15,46.344,lg,1725856572299451,7542
106.101.128.74,16,41.926,lg,1725856572328568,2091
106.101.128.74,17,41.728,lg,1725856572361972,7830
106.101.128.74,18,37.16,lg,1725856572391010,2931
106.101.128.74,19,39.515,lg,1725856572426915,8424
106.101.128.74,20,44.784,lg,1725856572465830,16334
106.101.128.74,21,42.279,lg,1725856572496914,6453
106.101.128.74,22,37.688,lg,1725856572525926,2100
106.101.128.74,23,40.068,lg,1725856572561911,8302
106.101.128.74,24,35.385,lg,1725856572590833,1793
106.101.128.74,25,40.56,lg,1725856572629590,8534
106.101.128.74,26,38.223,lg,1725856572660832,2689
106.101.128.74,27,40.659,lg,1725856572696897,8415
106.101.128.74,28,38.569,lg,1725856572728393,2733
106.101.128.74,29,38.085,lg,1725856572761502,6014
106.101.128.74,30,46.497,lg,1725856572803520,16102
106.101.128.74,31,41.297,lg,1725856572831914,6335
106.101.128.74,32,39.096,lg,1725856572863301,1907
106.101.128.74,33,38.845,lg,1725856572896600,6867
106.101.128.74,34,39.543,lg,1725856572930949,2413
106.101.128.74,35,39.178,lg,1725856572964184,7237
106.101.128.74,36,40.109,lg,1725856572998696,2871
106.101.128.74,37,44.458,lg,1725856573036658,6460
106.101.128.74,38,37.668,lg,1725856573063458,2334
106.101.128.74,39,39.969,lg,1725856573099349,6411
106.101.128.74,40,42.705,lg,1725856573135643,14801
106.101.128.74,41,40.348,lg,1725856573166944,5431
106.101.128.74,42,33.138,lg,1725856573193336,1655
106.101.128.74,43,50.338,lg,1725856573244248,6762
106.101.128.74,44,43.441,lg,1725856573270827,1426
106.101.128.74,45,43.212,lg,1725856573304198,6512
106.101.128.74,46,41.308,lg,1725856573335883,2278
106.101.128.74,47,39.301,lg,1725856573367489,9083
106.101.128.74,48,36.71,lg,1725856573398486,2111
106.101.128.74,49,38.894,lg,1725856573434229,5930
106.101.128.74,50,46.793,lg,1725856573475709,13512
106.101.128.74,51,50.067,lg,1725856573512635,9883
106.101.128.74,52,37.23,lg,1725856573533414,2691
106.101.128.74,53,39.424,lg,1725856573569194,6629
106.101.128.74,54,35.056,lg,1725856573598400,1920
106.101.128.74,55,44.552,lg,1725856573641478,5922
106.101.128.74,56,35.174,lg,1725856573665735,1836
106.101.128.74,57,42.599,lg,1725856573706776,6415
106.101.128.74,58,38.138,lg,1725856573735874,1895
