Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2
,,0,,163.152.161.52,2.0,0.0618021488189697
,,1,,163.152.161.52,2.0,0.061924934387207
,,3390,,163.152.161.52,2.0,0.1090109348297119
,,3391,,163.152.161.52,2.0,0.1089780330657959
,,3392,,163.152.161.52,2.0,0.1089217662811279
,,3393,,163.152.161.52,2.0,0.1088979244232177
,,3394,,163.152.161.52,2.0,0.109093427658081
,,5964,,163.152.161.52,2.0,0.0613436698913574
,,5965,,163.152.161.52,2.0,0.0624635219573974
,,5966,,163.152.161.52,2.0,0.0626921653747558
,,5967,,163.152.161.52,2.0,0.0626266002655029
,,5968,,163.152.161.52,2.0,0.0627756118774414
,,8526,,163.152.161.52,2.0,0.063044786453247
,,8527,,163.152.161.52,2.0,0.0632693767547607
,,11100,,163.152.161.52,2.0,0.0617434978485107
,,11101,,163.152.161.52,2.0,0.0612664222717285
,,13668,,163.152.161.52,2.0,0.0614128112792968
,,13669,,163.152.161.52,2.0,0.06132173538208
,,13670,,163.152.161.52,2.0,0.0617978572845459
,,13671,,163.152.161.52,2.0,0.0618376731872558
,,13672,,163.152.161.52,2.0,0.0617759227752685
,,16248,,163.152.161.52,2.0,0.0613069534301757
,,16249,,163.152.161.52,2.0,0.0616090297698974
,,16251,,163.152.161.52,2.0,0.0615744590759277
,,16250,,163.152.161.52,2.0,0.062197208404541
,,16252,,163.152.161.52,2.0,0.0622131824493408
,,18810,,163.152.161.52,2.0,0.0624330043792724
,,18811,,163.152.161.52,2.0,0.0622720718383789
,,18812,,163.152.161.52,2.0,0.0626351833343505
,,18813,,163.152.161.52,2.0,0.0625486373901367
,,18814,,163.152.161.52,2.0,0.062446117401123
,,21414,,163.152.161.52,2.0,0.0655627250671386
,,21415,,163.152.161.52,2.0,0.0655035972595214
,,24024,,163.152.161.52,2.0,0.0625689029693603
,,24025,,163.152.161.52,2.0,0.062648057937622
,,24026,,163.152.161.52,2.0,0.0627429485321044
,,24027,,163.152.161.52,2.0,0.0628333091735839
,,24028,,163.152.161.52,2.0,0.0629110336303711
,,26616,,163.152.161.52,2.0,0.0630769729614257
,,26617,,163.152.161.52,2.0,0.0630264282226562
,,26619,,163.152.161.52,2.0,0.0624032020568847
,,26618,,163.152.161.52,2.0,0.0631184577941894
,,26620,,163.152.161.52,2.0,0.0627739429473877
,,31782,,163.152.161.52,2.0,0.0617077350616455
,,31783,,163.152.161.52,2.0,0.0616548061370849
,,31784,,163.152.161.52,2.0,0.0616111755371093
,,31786,,163.152.161.52,2.0,0.0613653659820556
,,31785,,163.152.161.52,2.0,0.061906099319458
,,34356,,163.152.161.52,2.0,0.0620715618133544
,,34357,,163.152.161.52,2.0,0.0622875690460205
,,36930,,163.152.161.52,2.0,0.0855875015258789
,,36931,,163.152.161.52,2.0,0.0854389667510986
,,39516,,163.152.161.52,2.0,0.068723440170288
,,39517,,163.152.161.52,2.0,0.068580150604248
,,39518,,163.152.161.52,2.0,0.0683515071868896
,,39519,,163.152.161.52,2.0,0.0685138702392578
,,39520,,163.152.161.52,2.0,0.068429946899414
,,39522,,163.152.161.52,2.0,0.0640170574188232
,,47220,,163.152.161.52,2.0,0.0620019435882568
,,47221,,163.152.161.52,2.0,0.061936616897583
,,47324,,163.152.161.52,2.0,0.0616326332092285
,,47325,,163.152.161.52,2.0,0.0620646476745605
,,47326,,163.152.161.52,2.0,0.0617814064025878
,,47327,,163.152.161.52,2.0,0.061617374420166
,,47328,,163.152.161.52,2.0,0.062110424041748
,,47329,,163.152.161.52,2.0,0.0626509189605712
,,47330,,163.152.161.52,2.0,0.0623576641082763
,,47331,,163.152.161.52,2.0,0.0620198249816894
,,47332,,163.152.161.52,2.0,0.06231689453125
,,47333,,163.152.161.52,2.0,0.062068223953247
,,47334,,163.152.161.52,2.0,0.0615918636322021
,,47335,,163.152.161.52,2.0,0.0612964630126953
,,49788,,163.152.161.52,2.0,0.0614247322082519
,,49789,,163.152.161.52,2.0,0.0612220764160156
