Interface IP_1,Interface ID_1,Sequence Number,Latency_1,Interface IP_2,Interface ID_2,Latency_2,Latency Difference
39.7.28.111,1.0,2,0.1161267757415771,163.152.161.52,2.0,0.0619063377380371,0.054220438003540004
39.7.28.111,1.0,3,0.1161937713623046,163.152.161.52,2.0,0.0667719841003418,0.04942178726196281
39.7.28.111,1.0,5,0.1160116195678711,163.152.161.52,2.0,0.0757982730865478,0.0402133464813233
39.7.28.111,1.0,4,0.1164610385894775,163.152.161.52,2.0,0.0757081508636474,0.04075288772583009
39.7.28.111,1.0,6,0.0912060737609863,163.152.161.52,2.0,0.0642066001892089,0.0269994735717774
39.7.28.111,1.0,7,0.0912160873413086,163.152.161.52,2.0,0.0646498203277587,0.026566267013549888
39.7.28.111,1.0,8,0.0988914966583252,163.152.161.52,2.0,0.0645434856414794,0.0343480110168458
39.7.28.111,1.0,9,0.0988354682922363,163.152.161.52,2.0,0.0646102428436279,0.0342252254486084
39.7.28.111,1.0,10,0.0989062786102294,163.152.161.52,2.0,0.0653293132781982,0.033576965332031194
39.7.28.111,1.0,11,0.0989134311676025,163.152.161.52,2.0,0.0653417110443115,0.033571720123291
39.7.28.111,1.0,12,0.0956718921661377,163.152.161.52,2.0,0.061366319656372,0.034305572509765694
39.7.28.111,1.0,13,0.0957605838775634,163.152.161.52,2.0,0.0614542961120605,0.034306287765502895
39.7.28.111,1.0,14,0.0956842899322509,163.152.161.52,2.0,0.0622003078460693,0.03348398208618159
39.7.28.111,1.0,15,0.0956144332885742,163.152.161.52,2.0,0.0621886253356933,0.03342580795288091
39.7.28.111,1.0,17,0.0962879657745361,163.152.161.52,2.0,0.0623927116394043,0.03389525413513181
39.7.28.111,1.0,16,0.09657883644104,163.152.161.52,2.0,0.0623342990875244,0.0342445373535156
39.7.28.111,1.0,18,0.0901706218719482,163.152.161.52,2.0,0.0638554096221923,0.0263152122497559
39.7.28.111,1.0,19,0.0912449359893798,163.152.161.52,2.0,0.0635478496551513,0.027697086334228502
39.7.28.111,1.0,20,0.0910029411315918,163.152.161.52,2.0,0.0640676021575927,0.026935338973999093
